ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
603296.SH,20231229,79.89,4.366,4.366,1.37,22.5694,20.1035,2.8829,0.6245,0.6705,,,72425.241,5945.8005,5945.8005,5786052.5035,475010.0019,0.0
603296.SH,20231228,76.5,2.5506,2.5506,0.81,21.6117,19.2504,2.7606,0.598,0.6421,,,72425.241,5945.8005,5945.8005,5540530.9365,454853.7383,
603296.SH,20231227,77.03,4.7969,4.7969,1.82,21.7614,19.3838,2.7797,0.6022,0.6465,,,72425.241,5945.8005,5945.8005,5578916.3142,458005.0125,0.0
603296.SH,20231226,73.29,2.2895,2.2895,0.88,20.7048,18.4427,2.6448,0.5729,0.6152,,,72425.241,5945.8005,5945.8005,5308045.9129,435767.7186,
603296.SH,20231225,75.98,2.8895,2.8895,1.14,21.4648,19.1196,2.7418,0.594,0.6377,,,72425.241,5945.8005,5945.8005,5502869.8112,451761.922,
603296.SH,20231222,74.1,3.4202,3.4202,1.35,20.9336,18.6465,2.674,0.5793,0.622,,,72425.241,5945.8005,5945.8005,5366710.3581,440583.8171,
603296.SH,20231221,77.2,2.3312,2.3312,0.94,21.8094,19.4266,2.7858,0.6035,0.648,,,72425.241,5945.8005,5945.8005,5591228.6052,459015.7986,
603296.SH,20231220,77.64,2.2297,2.2297,0.87,21.9337,19.5373,2.8017,0.6069,0.6517,,,72425.241,5945.8005,5945.8005,5623095.7112,461631.9508,
603296.SH,20231219,77.84,2.1601,2.1601,0.73,21.9902,19.5876,2.8089,0.6085,0.6533,,,72425.241,5945.8005,5945.8005,5637580.7594,462821.1109,0.0
603296.SH,20231218,77.43,2.5635,2.5635,0.65,21.8744,19.4845,2.7941,0.6053,0.6499,,,72425.241,5945.8005,5945.8005,5607886.4106,460383.3327,0.0
603296.SH,20231215,79.12,3.4161,3.4161,0.88,22.3518,19.9097,2.8551,0.6185,0.6641,,,72425.241,5945.8005,5945.8005,5730285.0679,470431.7356,0.0
603296.SH,20231214,78.4,2.0745,2.0745,0.54,22.1484,19.7286,2.8292,0.6129,0.658,,,72425.241,5945.8005,5945.8005,5678138.8944,466150.7592,0.0
603296.SH,20231213,79.95,2.6296,2.6296,0.71,22.5863,20.1186,2.8851,0.625,0.6711,,,72425.241,5945.8005,5945.8005,5790398.018,475366.75,0.0
603296.SH,20231212,80.45,4.1304,4.1304,1.28,22.7276,20.2444,2.9031,0.6289,0.6753,,,72425.241,5945.8005,5945.8005,5826610.6385,478339.6502,0.0
603296.SH,20231211,80.86,7.6072,7.6072,3.28,22.8434,20.3476,2.9179,0.6321,0.6787,,,72425.241,5945.8005,5945.8005,5856304.9873,480777.4284,0.0
