ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000721.SZ,20260203,8.84,8.93,8.79,8.91,8.77,0.14,1.5964,135845.0,120593.949
000721.SZ,20260202,8.85,9.1,8.62,8.77,9.26,-0.49,-5.2916,270067.0,240155.493
000721.SZ,20260130,9.37,9.51,9.26,9.26,9.37,-0.11,-1.174,256574.0,240795.561
000721.SZ,20260129,9.2,9.4,9.07,9.37,9.25,0.12,1.2973,229861.0,213924.206
000721.SZ,20260128,9.21,9.28,9.16,9.25,9.19,0.06,0.6529,122383.0,112944.539
000721.SZ,20260127,9.3,9.31,9.08,9.19,9.33,-0.14,-1.5005,179347.7,164487.277
000721.SZ,20260126,9.43,9.49,9.22,9.33,9.47,-0.14,-1.4784,213603.0,199396.235
000721.SZ,20260123,9.54,9.54,9.44,9.47,9.49,-0.02,-0.2107,204250.0,193382.219
000721.SZ,20260122,9.4,9.53,9.35,9.49,9.39,0.1,1.065,190510.6,179905.825
000721.SZ,20260121,9.57,9.57,9.36,9.39,9.61,-0.22,-2.2893,264355.67,248688.251
000721.SZ,20260120,9.77,9.85,9.56,9.61,9.81,-0.2,-2.0387,329203.02,318743.501
000721.SZ,20260119,9.78,9.98,9.71,9.81,9.88,-0.07,-0.7085,365736.38,361062.616
000721.SZ,20260116,9.51,9.94,9.49,9.88,9.76,0.12,1.2295,525155.36,509178.872
000721.SZ,20260115,9.6,10.25,9.6,9.76,9.68,0.08,0.8264,748123.36,740311.536
000721.SZ,20260114,9.12,10.0,9.06,9.68,9.13,0.55,6.0241,637968.36,604227.516
000721.SZ,20260113,9.26,9.32,9.08,9.13,9.33,-0.2,-2.1436,258778.0,238079.575
000721.SZ,20260112,9.18,9.39,9.14,9.33,9.15,0.18,1.9672,304368.82,282047.906
000721.SZ,20260109,9.1,9.22,9.07,9.15,9.13,0.02,0.2191,202734.0,185068.118
000721.SZ,20260108,9.1,9.15,9.06,9.13,9.17,-0.04,-0.4362,163387.46,148683.329
000721.SZ,20260107,9.1,9.29,9.06,9.17,9.12,0.05,0.5482,249690.0,229397.925
000721.SZ,20260106,9.08,9.13,9.02,9.12,9.08,0.04,0.4405,189466.99,172192.447
000721.SZ,20260105,8.91,9.09,8.88,9.08,8.95,0.13,1.4525,197940.0,177639.331
