ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
300443.SZ,20241231,19.92,2.1903,2.4492,0.81,15.486,27.255,1.0524,3.2773,3.3165,0.7655,1.6761,32013.4598,24277.4045,21710.8461,637708.1192,483605.8976,0.0
300443.SZ,20241230,20.39,1.9315,2.1599,0.66,15.8514,27.898,1.0772,3.3546,3.3947,0.7479,1.6375,32013.4598,24277.4045,21710.8461,652754.4453,495016.2778,0.0
300443.SZ,20241227,20.56,2.8858,3.2269,0.9,15.9835,28.1306,1.0862,3.3826,3.423,0.7417,1.6239,32013.4598,24277.4045,21710.8461,658196.7335,499143.4365,0.0
300443.SZ,20241226,20.5,3.3647,3.7625,0.95,15.9369,28.0485,1.083,3.3727,3.413,0.7439,1.6287,32013.4598,24277.4045,21710.8461,656275.9259,497686.7923,0.0
300443.SZ,20241225,20.93,2.0905,2.3376,0.61,16.2712,28.6369,1.1057,3.4434,3.4846,0.7286,1.5952,32013.4598,24277.4045,21710.8461,670041.7136,508126.0762,0.0
300443.SZ,20241224,21.29,3.3132,3.7049,1.02,16.551,29.1294,1.1247,3.5027,3.5445,0.7163,1.5683,32013.4598,24277.4045,21710.8461,681566.5591,516865.9418,0.0
300443.SZ,20241223,20.82,3.0033,3.3583,0.99,16.1857,28.4864,1.0999,3.4253,3.4663,0.7324,1.6037,32013.4598,24277.4045,21710.8461,666520.233,505455.5617,0.0
300443.SZ,20241220,21.3,4.2719,4.7769,1.7,16.5588,29.1431,1.1253,3.5043,3.5462,0.7159,1.5675,32013.4598,24277.4045,21710.8461,681886.6937,517108.7159,0.0
300443.SZ,20241219,21.6,5.0332,5.6282,2.68,16.792,29.5536,1.1411,3.5537,3.5962,0.706,1.5458,32013.4598,24277.4045,21710.8461,691490.7317,524391.9372,0.0
300443.SZ,20241218,22.75,1.4471,1.6182,0.77,17.6861,31.127,1.2019,3.7429,3.7876,0.6703,1.4676,32013.4598,24277.4045,21710.8461,728306.2105,552310.9524,0.0
