,trade_date,ts_code,industry,name,close,pct_chg,amount,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit
0,20251110,000037.SZ,电力行业,深南电A,9.98,10.03,226045212.0,,3382303337.0,6015570668.16,6.79,279604570.0,95933,95933,0,1/1,1.0,U
1,20251110,000069.SZ,房地产开发,华侨城Ａ,2.66,9.92,675506080.0,,18350280737.46,21380436152.32,3.74,47110560.0,94818,102918,2,1/1,1.0,U
2,20251110,000533.SZ,电网设备,顺钠股份,9.94,9.96,1528293984.0,,6807929856.0,6866711040.0,23.41,85638755.0,101148,101148,0,3/4,1.0,U
3,20251110,000572.SZ,汽车整车,海马汽车,10.15,2.53,7007458304.0,,16668868630.05,16693059784.8,40.28,,94000,,12,5/7,,Z
4,20251110,000620.SZ,房地产开发,盈新发展,3.48,10.13,2215079584.0,,16257685876.2,20433916784.64,13.75,135129792.0,93118,130251,7,11/16,1.0,U
5,20251110,000632.SZ,综合行业,三木集团,5.43,9.92,406956752.0,,2527565120.58,2527771254.24,16.28,104685936.0,93021,93239,2,3/6,2.0,U
6,20251110,000686.SZ,证券,东北证券,10.2,10.03,2000718096.0,,23872619733.0,23872619702.4,8.61,98646852.0,133030,144724,3,1/1,1.0,U
7,20251110,000688.SZ,有色金属,国城矿业,20.92,9.99,581954160.0,,23543215304.92,23543305742.08,2.49,55875228.0,93036,134645,1,1/1,1.0,U
8,20251110,000695.SZ,造纸印刷,滨海能源,12.47,9.96,136842361.0,,2765987709.08,2770179811.33,5.02,83207322.0,93224,93224,0,1/1,1.0,U
9,20251110,000788.SZ,化学制药,北大医药,6.48,10.02,278426416.0,,3861998514.0,3861998507.52,7.4,80765424.0,100509,100509,0,1/1,1.0,U
10,20251110,000797.SZ,房地产开发,中国武夷,3.32,7.1,688457568.0,,5214300597.08,5214904023.68,13.33,,134906,,1,0/0,,Z
11,20251110,000799.SZ,酿酒行业,酒鬼酒,65.92,9.99,2062576640.0,,21417439641.6,21419318097.92,9.98,48582710.0,134315,134315,0,1/1,1.0,U
12,20251110,000819.SZ,石油行业,岳阳兴长,20.0,5.6,768822016.0,,7310646120.0,7390090240.0,10.41,,130809,,1,0/0,,Z
13,20251110,000830.SZ,化学原料,鲁西化工,15.53,9.99,1211757952.0,,29571743467.37,29574074194.24,4.1,46613419.0,93006,135242,4,1/1,1.0,U
14,20251110,000833.SZ,综合行业,粤桂股份,18.76,5.69,2224915632.0,,8511450007.76,15047062522.24,25.83,,95436,,1,0/0,,Z
15,20251110,000949.SZ,化纤行业,新乡化纤,5.39,10.0,600745152.0,,9162319113.64,9164778268.8,6.7,81980126.0,104257,104257,0,1/1,1.0,U
16,20251110,000962.SZ,小金属,东方钽业,28.02,-9.99,1287727536.0,260827135.0,14056635787.5,14146296901.44,8.88,1081572.0,,145657,30,,1.0,D
17,20251110,000973.SZ,塑料制品,佛塑科技,10.79,3.85,2325076400.0,,10438496015.09,10438495982.72,21.8,,102200,,1,0/0,,Z
