,trade_date,ts_code,industry,name,close,pct_chg,amount,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit
0,20231110,000056.SZ,房地产服务,皇庭国际,4.52,9.98,64285248.0,,4084854099.16,5469601014.4,1.57,178891204.0,92500,92500,0,4/4,4.0,U
1,20231110,000572.SZ,汽车整车,海马汽车,4.91,10.09,682000096.0,,8062982149.84,8075164881.12,8.98,114279857.0,144148,144148,0,1/1,1.0,U
2,20231110,000593.SZ,燃气,德龙汇能,8.84,9.95,290740032.0,,3168753859.96,3170298110.72,9.54,114663640.0,104206,104206,0,1/1,1.0,U
3,20231110,001298.SZ,电子元件,好上好,33.9,9.99,347565088.0,,1179720000.0,4789663200.0,30.35,134026023.0,94618,94618,0,1/1,1.0,U
4,20231110,001300.SZ,家用轻工,三柏硕,13.23,9.98,156542903.0,,876078521.01,3225155342.22,18.29,59384323.0,103912,103912,0,1/1,1.0,U
5,20231110,001309.SZ,半导体,德明利,100.69,9.88,368246592.0,,6753837935.02,11402920982.0,5.6,,94912,,1,0/0,,Z
6,20231110,002045.SZ,消费电子,国光电器,16.2,4.31,1238985408.0,,7577285340.6,7587819504.0,16.13,,130451,,1,0/0,,Z
7,20231110,002238.SZ,文化传媒,天威视讯,12.82,10.04,881623296.0,,10288808431.2,10288808533.76,8.57,133299642.0,92500,92500,0,7/7,7.0,U
8,20231110,002263.SZ,塑料制品,大东南,2.83,10.12,300698128.0,,5315716633.0,5315759071.68,5.81,81977509.0,134206,134206,0,1/1,1.0,U
9,20231110,002584.SZ,电子化学,西陇科学,8.0,10.04,1442689648.0,,3459934368.0,4681731328.0,43.61,55868800.0,93412,104912,1,3/3,3.0,U
10,20231110,002660.SZ,消费电子,茂硕电源,10.21,10.02,294750304.0,,2624837227.19,3641151623.36,11.48,112373302.0,102351,102351,0,1/1,1.0,U
11,20231110,002667.SZ,专用设备,威领股份,13.76,9.99,185539320.0,,3255307776.0,3336277120.0,5.92,60325216.0,100642,100642,0,1/1,1.0,U
12,20231110,002676.SZ,家电行业,顺威股份,5.13,10.09,326029120.0,,3693419598.42,3693600000.0,8.96,22319373.0,94457,102736,4,1/1,1.0,U
13,20231110,002682.SZ,物流行业,龙洲股份,5.63,-10.06,643583536.0,45130180.0,3166087892.22,3166135172.96,19.91,1876146.0,,145648,1,,2.0,D
14,20231110,002692.SZ,电网设备,远程股份,5.04,10.04,218530043.0,,3619455840.0,3619455840.0,6.3,73652836.0,93621,93621,0,3/4,1.0,U
15,20231110,002717.SZ,环保行业,岭南股份,3.19,5.98,562679072.0,,4659220095.97,5357468774.24,12.03,,132357,,1,0/0,,Z
16,20231110,002727.SZ,医药商业,一心堂,25.59,10.02,1020227904.0,,10237955280.72,15252239420.16,10.27,58569112.0,110218,110218,0,1/1,1.0,U
17,20231110,002771.SZ,互联网服,真视通,24.67,-10.0,897777904.0,159708645.0,4214212784.6,5174880347.0,20.96,57539814.0,,130909,1,,1.0,D
18,20231110,002786.SZ,专用设备,银宝山新,8.34,10.03,533778672.0,,4120894080.0,4133404080.0,13.1,90779765.0,93230,94412,2,1/1,1.0,U
19,20231110,002824.SZ,有色金属,和胜股份,19.58,10.0,133721987.0,,3703674284.2,5481279710.72,3.63,40520849.0,93021,93021,0,1/1,1.0,U
20,20231110,002855.SZ,消费电子,捷荣技术,36.0,-10.0,1611392240.0,238226688.0,8860198320.0,8871108552.0,17.45,139278744.0,,140227,2,,1.0,D
21,20231110,002876.SZ,光学光电,三利谱,34.3,4.76,408943680.0,,5101555517.1,5964253167.6,7.99,,130612,,1,0/0,,Z
22,20231110,002889.SZ,物流行业,东方嘉盛,32.25,5.6,1001941248.0,,4043477748.75,6222966450.0,24.42,,104445,,3,7/11,,Z
23,20231110,002931.SZ,通用设备,锋龙股份,16.69,-9.98,54421083.0,359617761.0,3015780473.33,3324484371.24,1.8,201074444.0,,92500,0,,2.0,D
24,20231110,002988.SZ,有色金属,豪美新材,31.22,10.01,398490416.0,,7262827891.62,7267112836.62,5.55,75718552.0,93115,94106,5,4/4,4.0,U
25,20231110,300184.SZ,贸易行业,力源信息,6.84,20.0,1509715024.0,,7170995664.36,7893441532.8,21.81,177994857.0,94721,94721,0,1/1,1.0,U
26,20231110,300554.SZ,通用设备,三超新材,34.35,16.64,1334909776.0,,2629490267.25,3923167669.95,52.76,,95430,,5,2/3,,Z
27,20231110,300606.SZ,通用设备,金太阳,40.39,16.4,819905696.0,,4749154630.43,5659325630.0,18.46,,143533,,1,0/0,,Z
28,20231110,300645.SZ,互联网服,正元智慧,18.58,-20.02,182885213.0,633174460.0,2608019863.32,2608019863.32,7.01,104025518.0,,93539,5,,1.0,D
29,20231110,300812.SZ,半导体,易天股份,29.3,13.17,1068365840.0,,2632384488.2,4109530949.7,40.19,,94206,,1,0/0,,Z
30,20231110,600119.SH,物流行业,长江投资,8.0,10.04,271539392.0,,2459200000.0,2922162944.0,11.7,52863200.0,135405,135405,0,1/1,1.0,U
31,20231110,600178.SH,汽车零部件,东安动力,8.46,10.01,78728405.0,,3909196800.0,4022671659.84,2.01,78875583.0,92501,92501,0,2/2,2.0,U
32,20231110,600185.SH,房地产开发,格力地产,8.05,9.97,514236368.0,,15174296649.75,15174296625.6,3.52,9148825.0,135956,140514,1,1/1,1.0,U
33,20231110,600506.SH,石油行业,统一股份,12.63,10.02,126292967.0,,1865537805.99,2425199136.42,6.95,64434471.0,93058,93058,0,2/2,2.0,U
34,20231110,600520.SH,专用设备,文一科技,34.01,9.99,2472820896.0,,5388204300.0,5388204300.0,46.85,94860692.0,95045,143600,7,11/19,1.0,U
35,20231110,600592.SH,通用设备,龙溪股份,11.63,-9.98,683770368.0,2237995221.0,4646808030.73,4646807995.84,14.54,59544588.0,,132012,6,,2.0,D
36,20231110,600619.SH,家电行业,海立股份,8.01,-8.56,1706462176.0,,6321290131.98,8677068058.08,24.14,,93104,,1,1/2,,Z
37,20231110,600679.SH,交运设备,上海凤凰,9.83,-9.98,70743977.0,1591020888.0,2943439463.9,5065342536.48,2.4,95620843.0,,93042,1,,1.0,D
38,20231110,600792.SH,煤炭行业,云煤能源,4.93,10.04,559169760.0,,4880323348.0,4880323348.0,12.31,32209662.0,142938,142938,0,2/2,2.0,U
39,20231110,600833.SH,医药商业,第一医药,12.32,7.04,282295488.0,,2748423795.04,2748423795.04,10.27,,112854,,1,0/0,,Z
40,20231110,601022.SH,航运港口,宁波远洋,10.9,9.99,395868112.0,,1426410340.6,14264103275.2,28.94,27723245.0,101245,101412,2,2/2,2.0,U
41,20231110,601515.SH,包装材料,东风股份,4.44,9.9,523815120.0,,8182751382.12,8182751351.04,6.45,15857460.0,101442,143951,14,1/1,1.0,U
42,20231110,601901.SH,证券,方正证券,9.82,5.48,7562623488.0,,80839235698.9,80839235512.32,9.17,,94659,,5,0/0,,Z
43,20231110,603009.SH,汽车零部件,北特科技,11.29,8.87,716321376.0,,3820637271.3,4050062783.84,19.13,,130334,,1,0/0,,Z
44,20231110,603110.SH,化学制品,东方材料,29.68,-10.01,323544256.0,50127144.0,5972409405.76,5972409405.76,5.34,28700560.0,,133736,7,,1.0,D
45,20231110,603158.SH,汽车零部件,腾龙股份,10.76,-9.96,707978768.0,2481477626.0,5281000532.56,5281000597.12,13.27,75968193.0,,131151,3,,2.0,D
46,20231110,603178.SH,汽车零部件,圣龙股份,34.72,-10.01,1613774992.0,1668140141.0,8208220508.32,8208220508.32,18.55,19503960.0,,145552,2,,1.0,D
47,20231110,603273.SH,专用设备,天元智能,30.39,9.99,504356832.0,,1595524778.82,6512984226.0,33.32,96689826.0,101046,101046,0,1/1,1.0,U
48,20231110,603283.SH,专用设备,赛腾股份,63.95,4.85,588112448.0,,11897811039.6,12810217664.6,4.91,,95001,,1,0/0,,Z
49,20231110,603320.SH,电机,迪贝电气,18.35,10.01,53418502.0,,2385890561.4,2385890561.4,2.24,21618318.0,92501,92501,0,2/2,2.0,U
50,20231110,603390.SH,汽车零部件,通达电气,12.29,-9.96,382320336.0,4298045611.0,4322233033.36,4322233131.68,8.81,58768518.0,,131907,3,,2.0,D
51,20231110,603703.SH,光学光电,盛洋科技,12.12,6.22,321091696.0,,5029583294.4,5029583391.36,6.32,,112630,,1,0/0,,Z
52,20231110,603706.SH,燃气,东方环宇,18.76,10.03,241853000.0,,3552819714.64,3552819714.64,6.98,24547478.0,104441,111353,6,1/1,1.0,U
53,20231110,603778.SH,工程建设,乾景园林,5.59,10.04,202646204.0,,3593571423.78,3593571390.24,5.86,32517309.0,131917,132723,1,1/1,1.0,U
54,20231110,603816.SH,装修建材,顾家家居,39.05,6.17,1128523072.0,,32094863816.95,32094863856.0,3.48,,92502,,1,0/0,,Z
55,20231110,603895.SH,专用设备,天永智能,25.31,-2.58,176930048.0,,2735504800.0,2735504800.0,6.03,,93706,,1,0/0,,Z
56,20231110,603929.SH,装修装饰,亚翔集成,31.08,10.02,546536656.0,,6631228800.0,6631228800.0,8.57,83443584.0,94143,94143,0,7/11,1.0,U
57,20231110,603991.SH,塑料制品,至正股份,45.65,10.0,170191210.0,,3402522658.7,3402522658.7,5.1,17406345.0,95900,104606,2,2/3,1.0,U
58,20231110,605050.SH,物流行业,福然德,12.98,10.0,276642112.0,,6396922769.38,6396922808.32,4.32,41909824.0,92503,95742,1,1/1,1.0,U
59,20231110,605086.SH,采掘行业,龙高股份,27.21,9.98,251247258.0,,1391845920.0,3482880000.0,18.32,190396777.0,93311,93438,1,1/1,1.0,U
