,trade_date,ts_code,industry,name,close,pct_chg,amount,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit
68,20220315,600335.SH,汽车服务,国机汽车,7.05,7.14,365746928.0,,7259644700.85,10270971175.2,5.02,,110045,,1,0/0,,Z
69,20220315,600348.SH,煤炭行业,华阳股份,10.24,-10.02,575383088.0,18056191.0,24627200000.0,24627200000.0,2.25,12268236.0,,145254,0,,1.0,D
70,20220315,600355.SH,通信设备,精伦电子,3.84,10.03,464988976.0,,1889622528.0,1889622528.0,24.84,46623828.0,93026,93741,4,2/2,2.0,U
71,20220315,600383.SH,房地产开发,金地集团,11.91,-9.98,873190032.0,108051008.0,53768690342.52,53768690104.32,1.56,7313931.0,,141939,6,,1.0,D
72,20220315,600396.SH,电力行业,金山股份,3.75,9.97,407393264.0,,5522650563.75,5522650560.0,7.53,56531340.0,94125,94434,2,3/5,1.0,U
73,20220315,600490.SH,有色金属,鹏欣资源,4.52,-9.96,769696112.0,49537028.0,9006648664.72,10002249565.44,8.16,432925.0,,145345,4,,1.0,D
74,20220315,600507.SH,钢铁行业,方大特钢,7.34,-9.94,559834128.0,13736810.0,15824674636.82,15824674644.16,3.4,5577893.0,,145624,0,,1.0,D
75,20220315,600523.SH,汽车零部件,贵航股份,22.18,-9.98,495986400.0,55154693.0,8961709671.6,8967625255.04,5.35,30559315.0,,132314,2,,1.0,D
76,20220315,600546.SH,煤炭行业,山煤国际,11.04,-10.02,1038555760.0,193029869.0,21886315785.6,21886315829.76,4.64,35068902.0,,135946,12,,1.0,D
77,20220315,600581.SH,钢铁行业,八一钢铁,5.34,-9.95,308705136.0,12061458.0,8185674625.8,8185674636.48,3.64,336954.0,,145528,0,,1.0,D
78,20220315,600678.SH,水泥建材,四川金顶,5.89,-9.94,154971535.0,7651699.0,2055551100.0,2055551100.0,7.18,1051535.0,,144052,1,,1.0,D
79,20220315,600735.SH,纺织服装,新华锦,6.97,-9.95,250163371.0,15820268.0,2620666303.12,2620666358.88,9.17,4292823.0,,144511,2,,1.0,D
80,20220315,600763.SH,医疗服务,通策医疗,122.4,-10.0,1433161488.0,335091172.0,39246336000.0,39246336000.0,3.51,150282842.0,,133752,3,,1.0,D
81,20220315,600769.SH,工程建设,祥龙电业,8.76,-9.97,260642407.0,139850613.0,3284800272.0,3284800272.0,7.86,79448723.0,,104322,1,,1.0,D
82,20220315,600801.SH,水泥建材,华新水泥,17.63,-10.01,550412400.0,103645564.0,24009941843.65,36963055461.28,2.22,5307158.0,,144012,11,,1.0,D
83,20220315,600808.SH,钢铁行业,马钢股份,3.8,-9.95,722267120.0,43581820.0,22677454506.8,29262588620.8,3.09,8010058.0,,144140,0,,1.0,D
84,20220315,600818.SH,交运设备,中路股份,19.27,-10.0,308843120.0,1263639885.0,4585448925.7,6194301110.08,6.69,98361922.0,,104555,4,,1.0,D
85,20220315,600853.SH,工程建设,龙建股份,4.08,9.97,596323424.0,,4099998307.68,4140802379.52,15.39,67836287.0,101704,101704,0,3/5,2.0,U
86,20220315,600874.SH,公用事业,创业环保,6.35,-10.06,363116848.0,33110166.0,6903900530.5,9062900543.2,5.15,4138815.0,,143914,2,,1.0,D
87,20220315,600906.SH,证券,财达证券,11.69,6.86,1631132736.0,,5845000000.0,37934050000.0,27.58,,100128,,3,0/0,,Z
88,20220315,600997.SH,煤炭行业,开滦股份,6.88,-9.95,312913024.0,27221834.0,10924062974.88,10924063009.28,2.79,3553520.0,,144612,2,,1.0,D
89,20220315,601001.SH,煤炭行业,晋控煤业,11.91,-9.98,893016544.0,23498382.0,19933767000.0,19933767000.0,4.34,4912922.0,,145225,2,,1.0,D
