ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
920896.BJ,20231229,12.47,17.438,17.438,0.72,34.4044,30.2632,3.209,3.9257,3.6715,,,10122.424,2546.1001,2546.1001,126226.6273,31749.8682,0.0
920896.BJ,20231228,12.39,16.1375,16.1375,0.57,34.1837,30.0691,3.1884,3.9005,3.6479,,,10122.424,2546.1001,2546.1001,125416.8334,31546.1802,
920896.BJ,20231227,12.5,23.3611,23.3611,0.73,34.4872,30.336,3.2167,3.9351,3.6803,,,10122.424,2546.1001,2546.1001,126530.3,31826.2513,0.0
920896.BJ,20231226,13.34,35.6021,35.6021,1.24,36.8047,32.3746,3.4329,4.1996,3.9276,,,10122.424,2546.1001,2546.1001,135033.1362,33964.9753,
920896.BJ,20231225,12.3,25.2427,25.2427,0.9,33.9354,29.8506,3.1653,3.8722,3.6214,,,10122.424,2546.1001,2546.1001,124505.8152,31317.0312,
920896.BJ,20231222,11.0,20.61,20.61,0.73,30.3487,26.6957,2.8307,3.4629,3.2387,,,10122.424,2546.1001,2546.1001,111346.664,28007.1011,
920896.BJ,20231221,10.25,36.137,36.137,1.27,28.2795,24.8755,2.6377,3.2268,3.0178,,,10122.424,2546.1001,2546.1001,103754.846,26097.526,
920896.BJ,20231220,12.8,43.1182,43.1182,1.74,35.3148,31.0641,3.2939,4.0296,3.7686,,,10122.424,2546.1001,2546.1001,129567.0272,32590.0813,
920896.BJ,20231219,10.76,18.6862,18.6862,0.79,29.6865,26.1133,2.769,3.3874,3.168,,,10122.424,2546.1001,2546.1001,108917.2822,27396.0371,0.0
920896.BJ,20231218,11.16,21.4592,21.4592,0.95,30.7901,27.084,2.8719,3.5133,3.2858,,,10122.424,2546.1001,2546.1001,112966.2518,28414.4771,0.0
920896.BJ,20231215,10.67,21.4455,21.4455,0.95,29.4382,25.8948,2.7458,3.359,3.1415,,,10122.424,2546.1001,2546.1001,108006.2641,27166.8881,0.0
920896.BJ,20231214,10.58,37.8285,37.8285,1.98,29.1899,25.6764,2.7226,3.3307,3.115,,,10122.424,2546.1001,2546.1001,107095.2459,26937.7391,0.0
920896.BJ,20231213,9.99,24.2566,24.2566,1.29,27.5621,24.2446,2.5708,3.145,2.9413,,,10122.424,2546.1001,2546.1001,101123.0158,25435.54,0.0
920896.BJ,20231212,9.4,12.5639,12.5639,0.56,25.9343,22.8127,2.419,2.9592,2.7676,,,10122.424,2546.1001,2546.1001,95150.7856,23933.3409,0.0
920896.BJ,20231211,9.17,17.3627,17.3627,0.81,25.2998,22.2545,2.3598,2.8868,2.6999,,,10122.424,2546.1001,2546.1001,92822.6281,23347.7379,0.0
920896.BJ,20231208,9.88,21.1207,21.1207,0.98,27.2586,23.9776,2.5425,3.1103,2.9089,,,10122.424,2546.1001,2546.1001,100009.5491,25155.469,0.0
920896.BJ,20231207,9.19,20.3075,20.3075,0.95,25.355,22.303,2.3649,2.8931,2.7058,,,10122.424,2546.1001,2546.1001,93025.0766,23398.6599,0.0
