trade_date,ts_code,ts_name,buy_amount,sell_amount,net_amount,hm_name,hm_orgs,tag
20260108,002202.SZ,金风科技,432277894.0,53094358.0,379183536.0,陈小群,中国银河证券股份有限公司大连黄河路证券营业部,
20260108,002413.SZ,雷科防务,2652702.0,114627911.0,-111975209.0,陈小群,中国银河证券股份有限公司大连黄河路证券营业部,
20260108,002792.SZ,通宇通讯,37030603.0,83028343.0,-45997740.0,陈小群,中国银河证券股份有限公司大连黄河路证券营业部,
20260108,002945.SZ,华林证券,36518587.0,61918.0,36456669.0,量化抢筹,中国银河证券股份有限公司北京中关村大街证券营业部,
20260108,603333.SH,尚纬股份,11110505.0,0.0,11110505.0,量化打板,中泰证券股份有限公司常州惠国路证券营业部,
20260108,603650.SH,彤程新材,0.0,47973429.65,-47973429.65,量化打板,华鑫证券有限责任公司上海分公司,
20260108,603488.SH,展鹏科技,0.0,10412883.0,-10412883.0,量化打板,国新证券股份有限公司长沙韶山路证券营业部,
20260108,603125.SH,常青科技,0.0,10784164.0,-10784164.0,量化打板,国新证券股份有限公司长沙韶山路证券营业部,
20260108,002774.SZ,快意电梯,16839595.0,0.0,16839595.0,量化打板,开源证券股份有限公司西安太华路证券营业部,
20260108,001231.SZ,农心科技,5557205.0,2687352.0,2869853.0,量化打板,开源证券股份有限公司西安太华路证券营业部,
20260108,002195.SZ,岩山科技,4705646.0,169228299.0,-164522653.0,量化打板,开源证券股份有限公司西安西大街证券营业部,
20260108,002735.SZ,王子新材,555409.0,75614395.0,-75058986.0,量化打板,开源证券股份有限公司西安西大街证券营业部,
20260108,603125.SH,常青科技,0.0,13554361.51,-13554361.51,量化打板,开源证券股份有限公司西安西大街证券营业部,
20260108,002639.SZ,雪人集团,160211819.0,920786.0,159291033.0,量化打板,开源证券股份有限公司西安西大街证券营业部,
20260108,002865.SZ,钧达股份,138130351.0,42068006.0,96062345.0,量化打板,开源证券股份有限公司西安西大街证券营业部,
20260108,301079.SZ,邵阳液压,49506645.0,1223098.0,48283547.0,量化打板,开源证券股份有限公司西安西大街证券营业部,
20260108,600135.SH,乐凯胶片,0.0,27535374.82,-27535374.82,量化打板,开源证券股份有限公司西安西大街证券营业部,
20260108,600637.SH,东方明珠,71211921.0,68290975.0,2920946.0,量化打板,开源证券股份有限公司西安西大街证券营业部,
20260108,601106.SH,中国一重,88132703.97,0.0,88132703.97,量化打板,开源证券股份有限公司西安西大街证券营业部,
20260108,601399.SH,国机重装,65314354.64,67835326.84,-2520972.2,量化打板,开源证券股份有限公司西安西大街证券营业部,
20260108,603015.SH,弘讯科技,26248413.6,0.0,26248413.6,量化打板,开源证券股份有限公司西安西大街证券营业部,
20260108,300065.SZ,海兰信,104452357.0,236218.0,104216139.0,量化打板,开源证券股份有限公司西安西大街证券营业部,
