ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
000009.SZ,20231229,11.74,0.5122,0.8398,1.32,26.1806,24.04,3.0756,0.9463,0.8899,0.2981,0.2981,257921.3965,255143.0324,155608.45,3027997.1949,2995379.2004,0.0
000009.SZ,20231228,11.77,0.5135,0.8419,1.42,26.2475,24.1014,3.0835,0.9487,0.8921,0.2974,0.2974,257921.3965,255143.0324,155608.45,3035734.8368,3003033.4913,
000009.SZ,20231227,11.63,0.3471,0.5691,0.97,25.9353,23.8148,3.0468,0.9374,0.8815,0.3009,0.3009,257921.3965,255143.0324,155608.45,2999625.8413,2967313.4668,0.0
000009.SZ,20231226,11.53,0.3422,0.561,0.97,25.7123,23.61,3.0206,0.9294,0.874,0.3036,0.3036,257921.3965,255143.0324,155608.45,2973833.7016,2941799.1636,
000009.SZ,20231225,11.61,0.2702,0.443,0.67,25.8907,23.7738,3.0416,0.9358,0.88,0.3015,0.3015,257921.3965,255143.0324,155608.45,2994467.4134,2962210.6062,
000009.SZ,20231222,11.65,0.4679,0.7672,1.12,25.9799,23.8557,3.0521,0.939,0.883,0.3004,0.3004,257921.3965,255143.0324,155608.45,3004784.2692,2972416.3275,
000009.SZ,20231221,11.62,0.3841,0.6297,0.85,25.913,23.7943,3.0442,0.9366,0.8808,0.3012,0.3012,257921.3965,255143.0324,155608.45,2997046.6273,2964762.0365,
000009.SZ,20231220,11.63,0.3206,0.5256,0.66,25.9353,23.8148,3.0468,0.9374,0.8815,0.3009,0.3009,257921.3965,255143.0324,155608.45,2999625.8413,2967313.4668,
000009.SZ,20231219,11.67,0.3161,0.5182,0.63,26.0245,23.8967,3.0573,0.9406,0.8846,0.2999,0.2999,257921.3965,255143.0324,155608.45,3009942.6972,2977519.1881,0.0
000009.SZ,20231218,11.65,0.5242,0.8594,0.98,25.9799,23.8557,3.0521,0.939,0.883,0.3004,0.3004,257921.3965,255143.0324,155608.45,3004784.2692,2972416.3275,0.0
000009.SZ,20231215,11.65,0.5442,0.8924,0.91,25.9799,23.8557,3.0521,0.939,0.883,0.3004,0.3004,257921.3965,255143.0324,155608.45,3004784.2692,2972416.3275,0.0
000009.SZ,20231214,11.75,0.5662,0.9284,0.95,26.2029,24.0605,3.0783,0.9471,0.8906,0.2979,0.2979,257921.3965,255143.0324,155608.45,3030576.4089,2997930.6307,0.0
000009.SZ,20231213,11.85,0.4901,0.8036,0.78,26.4259,24.2653,3.1044,0.9552,0.8982,0.2954,0.2954,257921.3965,255143.0324,155608.45,3056368.5485,3023444.9339,0.0
000009.SZ,20231212,11.93,0.3689,0.6049,0.56,26.6043,24.4291,3.1254,0.9616,0.9043,0.2934,0.2934,257921.3965,255143.0324,155608.45,3077002.2602,3043856.3765,0.0
000009.SZ,20231211,11.95,0.6995,1.1469,1.07,26.6489,24.47,3.1306,0.9632,0.9058,0.2929,0.2929,257921.3965,255143.0324,155608.45,3082160.6882,3048959.2372,0.0
000009.SZ,20231208,11.85,0.8614,1.4124,1.32,26.4259,24.2653,3.1044,0.9552,0.8982,0.2954,0.2954,257921.3965,255143.0324,155608.45,3056368.5485,3023444.9339,0.0
000009.SZ,20231207,11.78,0.5627,0.9226,0.88,26.2698,24.1219,3.0861,0.9495,0.8929,0.2971,0.2971,257921.3965,255143.0324,155608.45,3038314.0508,3005584.9217,0.0
000009.SZ,20231206,11.72,0.6341,1.0397,1.0,26.136,23.9991,3.0704,0.9447,0.8884,0.2986,0.2986,257921.3965,255143.0324,155608.45,3022838.767,2990276.3397,0.0
000009.SZ,20231205,11.63,0.5217,0.8554,0.82,25.9353,23.8148,3.0468,0.9374,0.8815,0.3009,0.3009,257921.3965,255143.0324,155608.45,2999625.8413,2967313.4668,0.0
000009.SZ,20231204,11.68,0.7007,1.1489,1.12,26.0468,23.9172,3.0599,0.9415,0.8853,0.2997,0.2997,257921.3965,255143.0324,155608.45,3012521.9111,2980070.6184,0.0
000009.SZ,20231201,11.5,0.853,1.3986,1.52,25.6454,23.5486,3.0128,0.9269,0.8717,0.3043,0.3043,257921.3965,255143.0324,155608.45,2966096.0598,2934144.8726,0.0
000009.SZ,20231130,11.69,0.501,0.8215,0.74,26.0691,23.9376,3.0625,0.9423,0.8861,0.2994,0.2994,257921.3965,255143.0324,155608.45,3015101.1251,2982622.0488,0.0
000009.SZ,20231129,11.73,0.5996,0.9832,0.83,26.1583,24.0195,3.073,0.9455,0.8891,0.2984,0.2984,257921.3965,255143.0324,155608.45,3025417.9809,2992827.7701,0.0
000009.SZ,20231128,11.75,0.5376,0.8815,0.75,26.2029,24.0605,3.0783,0.9471,0.8906,0.2979,0.2979,257921.3965,255143.0324,155608.45,3030576.4089,2997930.6307,0.0
000009.SZ,20231127,11.69,0.646,1.0592,0.88,26.0691,23.9376,3.0625,0.9423,0.8861,0.2994,0.2994,257921.3965,255143.0324,155608.45,3015101.1251,2982622.0488,0.0
000009.SZ,20231124,11.59,0.5271,0.8643,0.6,25.8461,23.7329,3.0363,0.9342,0.8785,0.302,0.302,257921.3965,255143.0324,155608.45,2989308.9854,2957107.7455,0.0
000009.SZ,20231123,11.62,1.0812,1.7728,1.32,25.913,23.7943,3.0442,0.9366,0.8808,0.3012,0.3012,257921.3965,255143.0324,155608.45,2997046.6273,2964762.0365,0.0
000009.SZ,20231122,11.67,0.8043,1.3188,0.89,26.0245,23.8967,3.0573,0.9406,0.8846,0.2999,0.2999,257921.3965,255143.0324,155608.45,3009942.6972,2977519.1881,0.0
000009.SZ,20231121,11.65,0.5448,0.8932,0.58,25.9799,23.8557,3.0521,0.939,0.883,0.3004,0.3004,257921.3965,255143.0324,155608.45,3004784.2692,2972416.3275,0.0
000009.SZ,20231120,11.66,0.7318,1.1998,0.76,26.0022,23.8762,3.0547,0.9398,0.8838,0.3002,0.3002,257921.3965,255143.0324,155608.45,3007363.4832,2974967.7578,0.0
000009.SZ,20231117,11.55,1.2638,2.0722,1.56,25.7569,23.651,3.0259,0.931,0.8755,0.303,0.303,257921.3965,255143.0324,155608.45,2978992.1296,2946902.0242,0.0
000009.SZ,20231116,11.46,0.7456,1.2225,0.96,25.5562,23.4667,3.0023,0.9237,0.8686,0.3054,0.3054,257921.3965,255143.0324,155608.45,2955779.2039,2923939.1513,0.0
000009.SZ,20231115,11.48,1.2356,2.026,1.78,25.6008,23.5076,3.0075,0.9253,0.8702,0.3049,0.3049,257921.3965,255143.0324,155608.45,2960937.6318,2929042.012,0.0
000009.SZ,20231114,11.26,0.7465,1.2241,0.89,25.1102,23.0571,2.9499,0.9076,0.8535,0.3108,0.3108,257921.3965,255143.0324,155608.45,2904194.9246,2872910.5448,0.0
000009.SZ,20231113,11.22,0.8441,1.3841,0.93,25.021,22.9752,2.9394,0.9044,0.8505,0.3119,0.3119,257921.3965,255143.0324,155608.45,2893878.0687,2862704.8235,0.0
000009.SZ,20231110,11.0,0.4885,0.801,0.55,24.5304,22.5247,2.8818,0.8866,0.8338,0.3182,0.3182,257921.3965,255143.0324,155608.45,2837135.3615,2806573.3564,0.0
