ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
603901.SH,20241231,7.37,1.6217,3.2879,1.0,50.5816,,1.4851,1.1426,1.1171,1.7514,1.079,48771.8251,48384.0576,23863.8376,359448.351,356590.5045,0.0
603901.SH,20241230,7.6,1.2319,2.4978,0.65,52.1602,,1.5314,1.1782,1.152,1.6984,1.0464,48771.8251,48384.0576,23863.8376,370665.8708,367718.8378,0.0
603901.SH,20241227,7.66,1.6443,3.3338,0.83,52.572,,1.5435,1.1875,1.1611,1.6851,1.0382,48771.8251,48384.0576,23863.8376,373592.1803,370621.8812,0.0
603901.SH,20241226,7.55,1.4669,2.9741,0.68,51.817,,1.5214,1.1705,1.1444,1.7097,1.0533,48771.8251,48384.0576,23863.8376,368227.2795,365299.6349,0.0
603901.SH,20241225,7.47,2.1394,4.3376,0.95,51.268,,1.5052,1.1581,1.1323,1.728,1.0646,48771.8251,48384.0576,23863.8376,364325.5335,361428.9103,0.0
603901.SH,20241224,7.68,1.6488,3.3429,0.62,52.7092,,1.5476,1.1906,1.1641,1.6807,1.0355,48771.8251,48384.0576,23863.8376,374567.6168,371589.5624,0.0
603901.SH,20241223,7.62,2.5619,5.1943,0.88,52.2974,,1.5355,1.1813,1.155,1.694,1.0436,48771.8251,48384.0576,23863.8376,371641.3073,368686.5189,0.0
603901.SH,20241220,8.1,2.0808,4.2189,0.6,55.5918,,1.6322,1.2557,1.2278,1.5936,0.9818,48771.8251,48384.0576,23863.8376,395051.7833,391910.8666,0.0
603901.SH,20241219,7.94,2.3417,4.7478,0.57,54.4937,,1.5999,1.2309,1.2035,1.6257,1.0016,48771.8251,48384.0576,23863.8376,387248.2913,384169.4173,0.0
603901.SH,20241218,7.81,2.6695,5.4124,0.6,53.6014,,1.5738,1.2108,1.1838,1.6528,1.0182,48771.8251,48384.0576,23863.8376,380907.954,377879.4899,0.0
