ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
600588.SH,20251231,13.26,1.1848,2.2648,1.09,,,6.116,4.9504,5.0349,0.0,,341699.7409,341699.7409,178747.6627,4530938.5643,4530938.5643,0
600588.SH,20251230,13.1,1.2209,2.3338,1.23,,,6.0422,4.8906,4.9741,0.0,,341699.7409,341699.7409,178747.6627,4476266.6058,4476266.6058,0
600588.SH,20251229,12.92,0.7761,1.4836,0.79,,,5.9592,4.8234,4.9058,0.0,,341699.7409,341699.7409,178747.6627,4414760.6524,4414760.6524,0
600588.SH,20251226,12.88,0.969,1.8524,1.03,,,5.9407,4.8085,4.8906,0.0,,341699.7409,341699.7409,178747.6627,4401092.6628,4401092.6628,0
600588.SH,20251225,13.04,1.7861,3.4144,2.41,,,6.0145,4.8682,4.9513,0.0,,341699.7409,341699.7409,178747.6627,4455764.6213,4455764.6213,0
600588.SH,20251224,12.71,0.7048,1.3474,0.83,,,5.8623,4.745,4.826,0.0,,341699.7409,341699.7409,178747.6627,4343003.7068,4343003.7068,0
600588.SH,20251223,12.61,0.7404,1.4154,0.8,,,5.8162,4.7077,4.7881,0.0,,341699.7409,341699.7409,178747.6627,4308833.7327,4308833.7327,0
600588.SH,20251222,12.69,0.6953,1.3291,,,,5.8531,4.7376,4.8184,0.0,,341699.7409,341699.7409,178747.6627,4336169.712,4336169.712,0
600588.SH,20251219,12.6,0.8,1.5293,0.74,,,5.8116,4.704,4.7843,0.0,,341699.7409,341699.7409,178747.6627,4305416.7353,4305416.7353,0
600588.SH,20251218,12.58,0.76,1.4529,0.65,,,5.8024,4.6965,4.7767,0.0,,341699.7409,341699.7409,178747.6627,4298582.7405,4298582.7405,0
600588.SH,20251217,12.73,1.2511,2.3916,1.12,,,5.8715,4.7525,4.8336,0.0,,341699.7409,341699.7409,178747.6627,4349837.7017,4349837.7017,0
600588.SH,20251216,12.28,1.1193,2.1397,1.01,,,5.664,4.5845,4.6628,0.0,,341699.7409,341699.7409,178747.6627,4196072.8183,4196072.8183,0
600588.SH,20251215,12.66,1.0386,1.9854,0.9,,,5.8393,4.7264,4.8071,0.0,,341699.7409,341699.7409,178747.6627,4325918.7198,4325918.7198,0
600588.SH,20251212,12.89,1.2468,2.3833,1.13,,,5.9453,4.8122,4.8944,0.0,,341699.7409,341699.7409,178747.6627,4404509.6602,4404509.6602,0
600588.SH,20251211,12.93,1.2101,2.3133,1.1,,,5.9638,4.8272,4.9096,0.0,,341699.7409,341699.7409,178747.6627,4418177.6498,4418177.6498,0
