ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
300748.SZ,20241231,17.88,1.6096,3.1552,0.82,42.6701,90.3186,3.5683,3.5965,3.6161,0.9067,1.8882,134523.6723,113380.2695,57840.6574,2405283.2607,2027239.2187,0.0
300748.SZ,20241230,18.43,1.5568,3.0516,0.77,43.9827,93.0968,3.6781,3.7071,3.7274,0.8796,1.8319,134523.6723,113380.2695,57840.6574,2479271.2805,2089598.3669,0.0
300748.SZ,20241227,18.92,1.7991,3.5266,0.9,45.152,95.572,3.7759,3.8057,3.8265,0.8569,1.7845,134523.6723,113380.2695,57840.6574,2545187.8799,2145154.6989,0.0
300748.SZ,20241226,19.08,2.9945,5.8699,1.75,45.5339,96.3802,3.8078,3.8379,3.8588,0.8497,1.7695,134523.6723,113380.2695,57840.6574,2566711.6675,2163295.5421,0.0
300748.SZ,20241225,17.98,1.9038,3.7318,1.18,42.9088,90.8237,3.5883,3.6166,3.6363,0.9017,1.8777,134523.6723,113380.2695,57840.6574,2418735.628,2038577.2456,0.0
300748.SZ,20241224,18.62,1.5264,2.9921,0.87,44.4361,94.0566,3.716,3.7453,3.7658,0.8707,1.8132,134523.6723,113380.2695,57840.6574,2504830.7782,2111140.6181,0.0
300748.SZ,20241223,18.68,1.8803,3.6858,1.08,44.5793,94.3597,3.728,3.7574,3.7779,0.8679,1.8074,134523.6723,113380.2695,57840.6574,2512902.1986,2117943.4343,0.0
300748.SZ,20241220,19.51,1.7269,3.3851,0.92,46.5601,98.5523,3.8936,3.9244,3.9458,0.8309,1.7305,134523.6723,113380.2695,57840.6574,2624556.8466,2212049.0579,0.0
300748.SZ,20241219,19.15,1.5342,3.0075,0.69,45.7009,96.7338,3.8218,3.8519,3.873,0.8466,1.763,134523.6723,113380.2695,57840.6574,2576128.3245,2171232.1609,0.0
300748.SZ,20241218,19.27,1.4061,2.7563,0.59,45.9873,97.34,3.8457,3.8761,3.8972,0.8413,1.752,134523.6723,113380.2695,57840.6574,2592271.1652,2184837.7933,0.0
300748.SZ,20241217,19.44,2.1904,4.2936,0.82,46.393,98.1987,3.8797,3.9103,3.9316,0.8339,1.7367,134523.6723,113380.2695,57840.6574,2615140.1895,2204112.4391,0.0
300748.SZ,20241216,19.46,1.8342,3.5953,0.66,46.4407,98.2997,3.8837,3.9143,3.9357,0.8331,1.7349,134523.6723,113380.2695,57840.6574,2617830.663,2206380.0445,0.0
300748.SZ,20241213,19.81,2.3833,4.6717,0.78,47.276,100.0677,3.9535,3.9847,4.0065,0.8184,1.7043,134523.6723,113380.2695,57840.6574,2664913.9483,2246063.1388,0.0
300748.SZ,20241212,20.16,3.2305,6.3325,0.94,48.1113,101.8357,4.0234,4.0551,4.0772,0.8042,1.6747,134523.6723,113380.2695,57840.6574,2711997.2336,2285746.2331,0.0
300748.SZ,20241211,20.65,2.306,4.5202,0.49,49.2806,104.3109,4.1212,4.1537,4.1763,0.7851,1.635,134523.6723,113380.2695,57840.6574,2777913.833,2341302.5652,0.0
300748.SZ,20241210,20.65,3.5538,6.9662,0.64,49.2806,104.3109,4.1212,4.1537,4.1763,0.7851,1.635,134523.6723,113380.2695,57840.6574,2777913.833,2341302.5652,0.0
300748.SZ,20241209,20.8,2.4091,4.7223,0.4,49.6386,105.0686,4.1511,4.1838,4.2067,0.7794,1.6232,134523.6723,113380.2695,57840.6574,2798092.3838,2358309.6056,0.0
300748.SZ,20241206,21.05,3.7678,7.3857,0.63,50.2352,106.3314,4.201,4.2341,4.2572,0.7702,1.6039,134523.6723,113380.2695,57840.6574,2831723.3019,2386654.673,0.0
300748.SZ,20241205,21.41,5.1299,10.0556,0.93,51.0943,108.1499,4.2728,4.3065,4.33,0.7572,1.5769,134523.6723,113380.2695,57840.6574,2880151.8239,2427471.57,0.0
300748.SZ,20241204,22.1,8.6103,16.878,1.85,52.741,111.6353,4.4105,4.4453,4.4696,0.7336,1.5277,134523.6723,113380.2695,57840.6574,2972973.1578,2505703.956,0.0
300748.SZ,20241203,21.72,7.8339,15.3561,1.93,51.8342,109.7158,4.3347,4.3689,4.3927,0.7464,1.5544,134523.6723,113380.2695,57840.6574,2921854.1624,2462619.4535,0.0
300748.SZ,20241202,20.65,4.4051,8.635,0.94,49.2806,104.3109,4.1212,4.1537,4.1763,0.7851,1.635,134523.6723,113380.2695,57840.6574,2777913.833,2341302.5652,0.0
300748.SZ,20241129,19.86,3.8726,7.5911,0.68,47.3953,100.3203,3.9635,3.9948,4.0166,0.8163,1.7,134523.6723,113380.2695,57840.6574,2671640.1319,2251732.1523,0.0
300748.SZ,20241128,19.44,2.8902,5.6654,0.52,46.393,98.1987,3.8797,3.9103,3.9316,0.8339,1.7367,134523.6723,113380.2695,57840.6574,2615140.1895,2204112.4391,0.0
300748.SZ,20241127,19.9,4.2627,8.3558,0.79,47.4908,100.5223,3.9715,4.0028,4.0247,0.8147,1.6966,134523.6723,113380.2695,57840.6574,2677021.0788,2256267.3631,0.0
