ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
002405.SZ,20251231,9.01,2.2967,2.5426,1.09,,,2.5967,6.072,5.8531,0.0,,237064.8814,235585.1219,212800.791,2135954.5814,2122621.9483,0
002405.SZ,20251230,8.89,1.6173,1.7905,0.68,,,2.5621,5.9911,5.7752,0.0,,237064.8814,235585.1219,212800.791,2107506.7956,2094351.7337,0
002405.SZ,20251229,8.96,1.8138,2.008,0.61,,,2.5823,6.0383,5.8207,0.0,,237064.8814,235585.1219,212800.791,2124101.3373,2110842.6922,0
002405.SZ,20251226,9.05,2.5976,2.8757,0.81,,,2.6082,6.099,5.8791,0.0,,237064.8814,235585.1219,212800.791,2145437.1767,2132045.3532,0
002405.SZ,20251225,8.94,2.0382,2.2564,0.56,,,2.5765,6.0248,5.8077,0.0,,237064.8814,235585.1219,212800.791,2119360.0397,2106130.9898,0
002405.SZ,20251224,8.98,2.4903,2.7569,0.65,,,2.588,6.0518,5.8337,0.0,,237064.8814,235585.1219,212800.791,2128842.635,2115554.3947,0
002405.SZ,20251223,8.8,2.9705,3.2886,0.69,,,2.5362,5.9305,5.7167,0.0,,237064.8814,235585.1219,212800.791,2086170.9563,2073149.0727,0
002405.SZ,20251222,9.02,4.768,5.2785,,,,2.5996,6.0787,5.8596,0.0,,237064.8814,235585.1219,212800.791,2138325.2302,2124977.7995,0
002405.SZ,20251219,8.91,3.7612,4.1639,1.19,,,2.5679,6.0046,5.7882,0.0,,237064.8814,235585.1219,212800.791,2112248.0933,2099063.4361,0
002405.SZ,20251218,8.77,4.111,4.5511,1.57,,,2.5275,5.9103,5.6972,0.0,,237064.8814,235585.1219,212800.791,2079059.0099,2066081.5191,0
002405.SZ,20251217,8.64,3.6278,4.0162,1.77,,,2.49,5.8227,5.6128,0.0,,237064.8814,235585.1219,212800.791,2048240.5753,2035455.4532,0
002405.SZ,20251216,8.59,5.1141,5.6617,4.19,,,2.4756,5.789,5.5803,0.0,,237064.8814,235585.1219,212800.791,2036387.3312,2023676.1971,0
002405.SZ,20251215,8.07,1.0198,1.129,0.84,,,2.3258,5.4385,5.2425,0.0,,237064.8814,235585.1219,212800.791,1913113.5929,1901171.9337,0
002405.SZ,20251212,8.15,1.9626,2.1727,1.95,,,2.3488,5.4924,5.2945,0.0,,237064.8814,235585.1219,212800.791,1932078.7834,1920018.7435,0
002405.SZ,20251211,8.19,1.3266,1.4687,1.51,,,2.3603,5.5194,5.3205,0.0,,237064.8814,235585.1219,212800.791,1941561.3787,1929442.1484,0
002405.SZ,20251210,8.27,0.8195,0.9073,0.9,,,2.3834,5.5733,5.3724,0.0,,237064.8814,235585.1219,212800.791,1960526.5692,1948288.9581,0
002405.SZ,20251209,8.31,0.9762,1.0807,1.09,,,2.3949,5.6003,5.3984,0.0,,237064.8814,235585.1219,212800.791,1970009.1644,1957712.363,0
002405.SZ,20251208,8.45,0.9632,1.0664,,,,2.4353,5.6946,5.4894,0.0,,237064.8814,235585.1219,212800.791,2003198.2478,1990694.2801,0
002405.SZ,20251205,8.47,0.9417,1.0426,,,,2.441,5.7081,5.5023,0.0,,237064.8814,235585.1219,212800.791,2007939.5455,1995405.9825,0
002405.SZ,20251204,8.35,0.679,0.7517,,,,2.4065,5.6272,5.4244,0.0,,237064.8814,235585.1219,212800.791,1979491.7597,1967135.7679,0
002405.SZ,20251203,8.37,0.9933,1.0996,,,,2.4122,5.6407,5.4374,0.0,,237064.8814,235585.1219,212800.791,1984233.0573,1971847.4703,0
002405.SZ,20251202,8.52,0.9195,1.018,0.88,,,2.4555,5.7418,5.5348,0.0,,237064.8814,235585.1219,212800.791,2019792.7895,2007185.2386,0
002405.SZ,20251201,8.53,1.0867,1.2031,0.99,,,2.4583,5.7485,5.5413,0.0,,237064.8814,235585.1219,212800.791,2022163.4383,2009541.0898,0
002405.SZ,20251128,8.53,0.8841,0.9788,0.69,,,2.4583,5.7485,5.5413,0.0,,237064.8814,235585.1219,212800.791,2022163.4383,2009541.0898,0
002405.SZ,20251127,8.41,0.8507,0.9418,0.64,,,2.4238,5.6677,5.4634,0.0,,237064.8814,235585.1219,212800.791,1993715.6526,1981270.8752,0
002405.SZ,20251126,8.48,1.2909,1.4291,1.02,,,2.4439,5.7148,5.5088,0.0,,237064.8814,235585.1219,212800.791,2010310.1943,1997761.8337,0
002405.SZ,20251125,8.46,1.1309,1.252,0.91,,,2.4382,5.7014,5.4959,0.0,,237064.8814,235585.1219,212800.791,2005568.8966,1993050.1313,0
002405.SZ,20251124,8.48,1.3568,1.5021,1.16,,,2.4439,5.7148,5.5088,0.0,,237064.8814,235585.1219,212800.791,2010310.1943,1997761.8337,0
002405.SZ,20251121,8.24,1.7397,1.926,1.46,,,2.3748,5.5531,5.3529,0.0,,237064.8814,235585.1219,212800.791,1953414.6227,1941221.4045,0
002405.SZ,20251120,8.45,1.1772,1.3033,0.97,,,2.4353,5.6946,5.4894,0.0,,237064.8814,235585.1219,212800.791,2003198.2478,1990694.2801,0
