ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
301590.SZ,20251231,177.3,5.0671,5.0671,0.7,29.1211,40.1219,3.8271,4.9792,5.1654,,0.676,4205.3128,860.2681,860.2681,745601.9594,152525.5341,0
301590.SZ,20251230,176.87,3.9701,3.9701,0.46,29.0505,40.0246,3.8179,4.9671,5.1529,,0.6776,4205.3128,860.2681,860.2681,743793.6749,152155.6188,0
301590.SZ,20251229,177.61,5.0197,5.0197,0.59,29.1721,40.1921,3.8338,4.9879,5.1744,,0.6748,4205.3128,860.2681,860.2681,746905.6064,152792.2172,0
301590.SZ,20251226,180.5,5.5311,5.5311,0.66,29.6467,40.846,3.8962,5.069,5.2586,,0.664,4205.3128,860.2681,860.2681,759058.9604,155278.3921,0
301590.SZ,20251225,182.36,6.9868,6.9868,0.8,29.9522,41.267,3.9364,5.1213,5.3128,,0.6572,4205.3128,860.2681,860.2681,766880.8422,156878.4907,0
301590.SZ,20251224,185.3,14.7458,14.7458,2.13,30.4351,41.9323,3.9998,5.2038,5.3985,,0.6468,4205.3128,860.2681,860.2681,779244.4618,159407.6789,0
301590.SZ,20251223,175.65,10.606,10.606,1.78,28.8501,39.7485,3.7915,4.9328,5.1173,,0.6823,4205.3128,860.2681,860.2681,738663.1933,151106.0918,0
301590.SZ,20251222,170.25,4.6088,4.6088,,27.9632,38.5265,3.675,4.7812,4.96,,0.704,4205.3128,860.2681,860.2681,715954.5042,146460.644,0
301590.SZ,20251219,168.79,4.7237,4.7237,0.69,27.7234,38.1961,3.6434,4.7402,4.9175,,0.71,4205.3128,860.2681,860.2681,709814.7475,145204.6526,0
301590.SZ,20251218,171.0,8.9764,8.9764,1.33,28.0864,38.6963,3.6911,4.8022,4.9818,,0.7009,4205.3128,860.2681,860.2681,719108.4888,147105.8451,0
301590.SZ,20251217,167.28,5.6592,5.6592,0.88,27.4754,37.8544,3.6108,4.6978,4.8735,,0.7165,4205.3128,860.2681,860.2681,703464.7252,143905.6478,0
301590.SZ,20251216,163.07,5.8181,5.8181,0.93,26.7839,36.9017,3.52,4.5795,4.7508,,0.735,4205.3128,860.2681,860.2681,685760.3583,140283.9191,0
301590.SZ,20251215,166.12,6.3139,6.3139,1.03,27.2848,37.5919,3.5858,4.6652,4.8397,,0.7215,4205.3128,860.2681,860.2681,698586.5623,142907.7368,0
301590.SZ,20251212,173.29,7.3957,7.3957,1.07,28.4625,39.2145,3.7406,4.8665,5.0486,,0.6916,4205.3128,860.2681,860.2681,728738.6551,149075.859,0
301590.SZ,20251211,170.98,8.6837,8.6837,1.49,28.0831,38.6917,3.6907,4.8017,4.9813,,0.7009,4205.3128,860.2681,860.2681,719024.3825,147088.6397,0
301590.SZ,20251210,169.32,4.025,4.025,0.71,27.8104,38.3161,3.6549,4.755,4.9329,,0.7078,4205.3128,860.2681,860.2681,712043.5633,145660.5947,0
301590.SZ,20251209,168.05,4.9198,4.9198,0.91,27.6018,38.0287,3.6275,4.7194,4.8959,,0.7132,4205.3128,860.2681,860.2681,706702.816,144568.0542,0
301590.SZ,20251208,167.91,5.6787,5.6787,,27.5789,37.997,3.6244,4.7154,4.8918,,0.7138,4205.3128,860.2681,860.2681,706114.0722,144447.6167,0
301590.SZ,20251205,167.45,11.3091,11.3091,,27.5033,37.8929,3.6145,4.7025,4.8784,,0.7157,4205.3128,860.2681,860.2681,704179.6284,144051.8933,0
301590.SZ,20251204,160.75,3.4407,3.4407,,26.4028,36.3767,3.4699,4.5144,4.6832,,0.7456,4205.3128,816.4562,816.4562,676004.0326,131245.3342,0
301590.SZ,20251203,161.9,3.4977,3.4977,,26.5917,36.637,3.4947,4.5467,4.7167,,0.7403,4205.3128,816.4562,816.4562,680840.1423,132184.2588,0
301590.SZ,20251202,163.89,3.6303,3.6303,0.96,26.9186,37.0873,3.5377,4.6026,4.7747,,0.7313,4205.3128,816.4562,816.4562,689208.7148,133809.0066,0
301590.SZ,20251201,167.37,4.6402,4.6402,1.3,27.4902,37.8748,3.6128,4.7003,4.8761,,0.7161,4205.3128,816.4562,816.4562,703843.2033,136650.2742,0
301590.SZ,20251128,167.5,2.7815,2.7815,0.7,27.5115,37.9042,3.6156,4.7039,4.8799,,0.7155,4205.3128,816.4562,816.4562,704389.894,136756.4135,0
301590.SZ,20251127,166.8,3.3571,3.3571,0.76,27.3965,37.7458,3.6005,4.6843,4.8595,,0.7185,4205.3128,816.4562,816.4562,701446.175,136184.8942,0
301590.SZ,20251126,167.0,4.1594,4.1594,0.74,27.4294,37.7911,3.6048,4.6899,4.8653,,0.7177,4205.3128,816.4562,816.4562,702287.2376,136348.1854,0
301590.SZ,20251125,169.9,3.9783,3.9783,0.72,27.9057,38.4473,3.6674,4.7713,4.9498,,0.7054,4205.3128,816.4562,816.4562,714482.6447,138715.9084,0
301590.SZ,20251124,167.64,3.6238,3.6238,0.67,27.5345,37.9359,3.6186,4.7079,4.884,,0.7149,4205.3128,816.4562,816.4562,704978.6378,136870.7174,0
301590.SZ,20251121,164.4,4.6661,4.6661,0.86,27.0023,37.2027,3.5487,4.6169,4.7896,,0.729,4205.3128,816.4562,816.4562,691353.4243,134225.3993,0
301590.SZ,20251120,168.3,5.7209,5.7209,1.02,27.6429,38.0853,3.6329,4.7264,4.9032,,0.7121,4205.3128,816.4562,816.4562,707754.1442,137409.5785,0
301590.SZ,20251119,171.88,10.2544,10.2544,2.28,28.1953,38.8463,3.7138,4.8208,5.0012,,0.6982,4200.0,816.4562,816.4562,721896.0,140332.4917,0
301590.SZ,20251118,182.55,3.4799,3.4799,0.73,29.9456,41.2578,3.9444,5.1201,5.3116,,0.6574,4200.0,816.4562,816.4562,766710.0,149044.0793,0
301590.SZ,20251117,181.81,2.7338,2.7338,0.49,29.8242,41.0905,3.9284,5.0994,5.2901,,0.66,4200.0,816.4562,816.4562,763602.0,148439.9017,0
301590.SZ,20251114,181.28,4.8735,4.8735,0.85,29.7372,40.9707,3.9169,5.0845,5.2747,,0.662,4200.0,816.4562,816.4562,761376.0,148007.1799,0
301590.SZ,20251113,185.65,6.6284,6.6284,0.96,30.4541,41.9584,4.0113,5.2071,5.4018,,0.6464,4200.0,816.4562,816.4562,779730.0,151575.0935,0
301590.SZ,20251112,184.18,4.7769,4.7769,0.49,30.2129,41.6262,3.9796,5.1658,5.359,,0.6515,4200.0,816.4562,816.4562,773556.0,150374.9029,0
301590.SZ,20251111,182.27,4.838,4.838,0.49,29.8996,41.1945,3.9383,5.1123,5.3035,,0.6584,4200.0,816.4562,816.4562,765534.0,148815.4716,0
301590.SZ,20251110,182.52,6.5209,6.5209,0.69,29.9406,41.251,3.9437,5.1193,5.3107,,0.6575,4200.0,816.4562,816.4562,766584.0,149019.5856,0
301590.SZ,20251107,183.64,5.7774,5.7774,0.6,30.1244,41.5041,3.9679,5.1507,5.3433,,0.6535,4200.0,816.4562,816.4562,771288.0,149934.0166,0
301590.SZ,20251106,186.75,12.7619,12.7619,1.35,30.6345,42.207,4.0351,5.2379,5.4338,,0.6426,4200.0,816.4562,816.4562,784350.0,152473.1954,0
301590.SZ,20251105,194.3,18.8937,18.8937,2.22,31.873,43.9134,4.1982,5.4497,5.6535,,0.6176,4200.0,816.4562,816.4562,816060.0,158637.4397,0
301590.SZ,20251104,179.34,5.1319,5.1319,0.56,29.419,40.5323,3.875,5.0301,5.2182,,0.6691,4200.0,816.4562,816.4562,753228.0,146423.2549,0
301590.SZ,20251103,181.68,4.9788,4.9788,0.5,29.8028,41.0611,3.9256,5.0957,5.2863,,0.6605,4200.0,816.4562,816.4562,763056.0,148333.7624,0
301590.SZ,20251031,181.9,6.3617,6.3617,0.61,29.8389,41.1109,3.9303,5.1019,5.2927,,0.6597,4200.0,816.4562,816.4562,763980.0,148513.3828,0
301590.SZ,20251030,179.67,11.8947,11.8947,1.23,29.4731,40.6069,3.8821,5.0393,5.2278,,0.6679,4200.0,816.4562,816.4562,754614.0,146692.6855,0
301590.SZ,20251029,187.9,14.0926,14.0926,1.71,30.8232,42.4669,4.06,5.2702,5.4673,,0.6386,4200.0,816.4562,816.4562,789180.0,153412.12,0
301590.SZ,20251028,193.7,8.2461,8.2461,1.02,31.7746,36.7186,4.2273,5.4328,5.4299,,0.6195,4200.0,816.4562,816.4562,813540.0,158147.5659,0
301590.SZ,20251027,199.65,9.0274,9.0274,1.09,32.7507,37.8465,4.3571,5.5997,5.5967,,0.6011,4200.0,816.4562,816.4562,838530.0,163005.4803,0
301590.SZ,20251024,195.9,8.4702,8.4702,0.83,32.1355,37.1357,4.2753,5.4945,5.4916,,0.6126,4200.0,816.4562,816.4562,822780.0,159943.7696,0
301590.SZ,20251023,190.85,8.5334,8.5334,0.59,31.3071,36.1784,4.1651,5.3529,5.35,,0.6288,4200.0,816.4562,816.4562,801570.0,155820.6658,0
301590.SZ,20251022,192.0,7.0006,7.0006,0.45,31.4957,36.3964,4.1902,5.3852,5.3823,,0.625,4200.0,816.4562,816.4562,806400.0,156759.5904,0
301590.SZ,20251021,193.82,7.2046,7.2046,0.44,31.7943,36.7414,4.2299,5.4362,5.4333,,0.6191,4200.0,816.4562,816.4562,814044.0,158245.5407,0
301590.SZ,20251020,192.23,10.2294,10.2294,0.64,31.5335,36.44,4.1952,5.3916,5.3887,,0.6243,4200.0,816.4562,816.4562,807366.0,156947.3753,0
301590.SZ,20251017,194.38,18.3091,18.3091,1.24,31.8862,36.8475,4.2421,5.4519,5.449,,0.6173,4200.0,816.4562,816.4562,816396.0,158702.7562,0
301590.SZ,20251016,209.76,29.9378,29.9378,2.46,34.4091,39.763,4.5777,5.8833,5.8801,,0.5721,4200.0,816.4562,816.4562,880992.0,171259.8525,0
301590.SZ,20251015,228.16,11.7072,11.7072,0.81,37.4274,43.251,4.9793,6.3994,6.3959,,0.5259,4200.0,816.4562,816.4562,958272.0,186282.6466,0
301590.SZ,20251014,221.82,11.7024,11.7024,0.74,36.3874,42.0492,4.8409,6.2215,6.2182,,0.541,4200.0,816.4562,816.4562,931644.0,181106.3143,0
301590.SZ,20251013,219.74,8.8569,8.8569,0.45,36.0462,41.6549,4.7955,6.1632,6.1599,,0.5461,4200.0,816.4562,816.4562,922908.0,179408.0854,0
301590.SZ,20251010,217.1,11.6143,11.6143,0.49,35.6132,41.1544,4.7379,6.0892,6.0859,,0.5527,4200.0,816.4562,816.4562,911820.0,177252.641,0
301590.SZ,20251009,227.0,16.9999,16.9999,0.76,37.2372,43.0311,4.954,6.3668,6.3634,,0.5286,4200.0,816.4562,816.4562,953400.0,185335.5574,0
301590.SZ,20250930,233.32,22.6873,22.6873,1.12,38.2739,44.2292,5.0919,6.5441,6.5406,,0.5143,4200.0,816.4562,816.4562,979944.0,190495.5606,0
301590.SZ,20250929,215.31,18.793,18.793,0.99,35.3195,40.8151,4.6989,6.039,6.0357,,0.5573,4200.0,816.4562,816.4562,904302.0,175791.1844,0
301590.SZ,20250926,227.0,29.1887,29.1887,1.64,37.2372,43.0311,4.954,6.3668,6.3634,,0.5286,4200.0,816.4562,816.4562,953400.0,185335.5574,0
301590.SZ,20250925,215.52,30.9827,30.9827,2.09,35.354,40.8549,4.7034,6.0448,6.0416,,0.5568,4200.0,816.4562,816.4562,905184.0,175962.6402,0
301590.SZ,20250924,196.28,10.528,10.528,0.66,32.1978,37.2077,4.2836,5.5052,5.5022,,0.6114,4200.0,816.4562,816.4562,824376.0,160254.0229,0
301590.SZ,20250923,195.88,11.8181,11.8181,0.74,32.1322,37.1319,4.2748,5.494,5.491,,0.6126,4200.0,816.4562,816.4562,822696.0,159927.4405,0
301590.SZ,20250922,192.61,12.2524,12.2524,0.71,31.5958,36.512,4.2035,5.4023,5.3994,,0.623,4200.0,816.4562,816.4562,808962.0,157257.6287,0
301590.SZ,20250919,200.0,23.5869,23.5869,1.48,32.8081,37.9129,4.3647,5.6095,5.6065,,0.6,4200.0,816.4562,816.4562,840000.0,163291.24,0
301590.SZ,20250918,192.02,15.8351,15.8351,0.98,31.499,36.4002,4.1906,5.3857,5.3828,,0.6249,4200.0,816.4562,816.4562,806484.0,156775.9195,0
301590.SZ,20250917,195.0,15.9838,15.9838,0.87,31.9879,36.9651,4.2556,5.4693,5.4664,,0.6154,4200.0,816.4562,816.4562,819000.0,159208.959,0
301590.SZ,20250916,198.65,12.3068,12.3068,0.6,32.5866,37.657,4.3353,5.5717,5.5687,,0.6041,4200.0,816.4562,816.4562,834330.0,162189.0241,0
301590.SZ,20250915,200.29,18.9226,18.9226,0.77,32.8556,37.9679,4.3711,5.6177,5.6147,,0.5991,4200.0,816.4562,816.4562,841218.0,163528.0123,0
301590.SZ,20250912,204.5,16.3721,16.3721,0.6,33.5462,38.7659,4.4629,5.7358,5.7327,,0.5868,4200.0,816.4562,816.4562,858900.0,166965.2929,0
301590.SZ,20250911,212.32,17.3891,17.3891,0.61,34.829,40.2483,4.6336,5.9551,5.9519,,0.5652,4200.0,816.4562,816.4562,891744.0,173349.9804,0
301590.SZ,20250910,212.66,27.362,27.362,1.01,34.8848,40.3128,4.641,5.9646,5.9614,,0.5643,4200.0,816.4562,816.4562,893172.0,173627.5755,0
301590.SZ,20250909,202.01,21.9931,21.9931,0.8,33.1378,38.2939,4.4086,5.6659,5.6629,,0.594,4200.0,816.4562,816.4562,848442.0,164932.317,0
301590.SZ,20250908,201.05,39.6407,39.6407,1.54,32.9803,38.1119,4.3877,5.639,5.636,,0.5969,4200.0,816.4562,816.4562,844410.0,164148.519,0
301590.SZ,20250905,185.5,30.5255,30.5255,1.15,30.4295,35.1642,4.0483,5.2029,5.2001,,0.6469,4200.0,816.4562,816.4562,779100.0,151452.6251,0
301590.SZ,20250904,170.42,22.9761,22.9761,0.89,27.9558,32.3056,3.7192,4.7799,4.7773,,0.7041,4200.0,816.4562,816.4562,715764.0,139140.4656,0
301590.SZ,20250903,180.7,20.7176,20.7176,0.79,29.6421,34.2543,3.9435,5.0682,5.0655,,0.6641,4200.0,816.4562,816.4562,758940.0,147533.6353,0
301590.SZ,20250902,175.93,24.3528,24.3528,0.92,28.8596,33.3501,3.8394,4.9344,4.9318,,0.6821,4200.0,816.4562,816.4562,738906.0,143639.1393,0
301590.SZ,20250901,192.76,30.3065,30.3065,1.14,31.6204,36.5404,4.2067,5.4065,5.4036,,0.6225,4200.0,816.4562,816.4562,809592.0,157380.0971,0
301590.SZ,20250829,185.14,33.8353,33.8353,1.58,30.3704,35.096,4.0404,5.1928,5.19,,0.6482,4200.0,816.4562,816.4562,777588.0,151158.7009,0
301590.SZ,20250828,172.2,20.5086,20.5086,1.08,28.2477,32.643,3.758,4.8298,4.8272,,0.6969,4200.0,816.4562,816.4562,723240.0,140593.7576,0
301590.SZ,20250827,171.0,22.2104,22.2104,1.36,28.0509,32.4155,3.7319,4.7962,4.7936,,0.7018,4200.0,816.4562,816.4562,718200.0,139614.0102,0
301590.SZ,20250826,174.12,24.8222,24.8222,1.71,28.5627,33.007,3.7999,4.8837,4.881,,0.6892,4200.0,816.4562,816.4562,731304.0,142161.3535,0
301590.SZ,20250825,187.85,31.7191,31.7191,2.56,30.815,32.1381,4.1964,5.2688,5.1928,,0.6388,4200.0,816.4562,816.4562,788970.0,153371.2972,0
301590.SZ,20250822,167.7,7.9037,7.9037,0.56,27.5096,28.6908,3.7463,4.7036,4.6358,,0.7156,4200.0,816.4562,816.4562,704340.0,136919.7047,0
301590.SZ,20250821,166.85,8.6962,8.6962,0.57,27.3701,28.5454,3.7273,4.6798,4.6123,,0.7192,4200.0,816.4562,816.4562,700770.0,136225.717,0
301590.SZ,20250820,169.33,8.5112,8.5112,0.52,27.7769,28.9697,3.7827,4.7493,4.6809,,0.7087,4200.0,816.4562,816.4562,711186.0,138250.5283,0
301590.SZ,20250819,170.2,15.9361,15.9361,0.85,27.9197,29.1185,3.8022,4.7737,4.7049,,0.7051,4200.0,816.4562,816.4562,714840.0,138960.8452,0
301590.SZ,20250818,174.82,20.8522,20.8522,1.25,28.6775,29.9089,3.9054,4.9033,4.8326,,0.6864,4200.0,816.4562,816.4562,734244.0,142732.8729,0
301590.SZ,20250815,164.58,17.0326,17.0326,1.15,26.9978,28.157,3.6766,4.6161,4.5496,,0.7291,4200.0,816.4562,816.4562,691236.0,134372.3614,0
301590.SZ,20250814,158.17,13.6871,13.6871,0.98,25.9463,27.0604,3.5334,4.4363,4.3724,,0.7587,4200.0,816.4562,816.4562,664314.0,129138.8772,0
301590.SZ,20250813,163.35,14.41,14.41,1.12,26.796,27.9466,3.6491,4.5816,4.5156,,0.7346,4200.0,816.4562,816.4562,686070.0,133368.1203,0
301590.SZ,20250812,165.72,28.2297,28.2297,2.9,27.1848,28.3521,3.7021,4.6481,4.5811,,0.7241,4200.0,816.4562,816.4562,696024.0,135303.1215,0
301590.SZ,20250811,156.24,9.7623,9.7623,1.11,25.6297,26.7302,3.4903,4.3822,4.319,,0.768,4200.0,816.4562,816.4562,656208.0,127563.1167,0
301590.SZ,20250808,153.52,8.1434,8.1434,0.99,25.1835,26.2648,3.4295,4.3059,4.2438,,0.7817,4200.0,816.4562,816.4562,644784.0,125342.3558,0
301590.SZ,20250807,156.09,9.5965,9.5965,1.22,25.6051,26.7045,3.4869,4.378,4.3149,,0.7688,4200.0,816.4562,816.4562,655578.0,127440.6483,0
301590.SZ,20250806,155.39,8.7376,8.7376,1.02,25.4902,26.5848,3.4713,4.3583,4.2955,,0.7723,4200.0,816.4562,816.4562,652638.0,126869.1289,0
301590.SZ,20250805,155.76,12.3725,12.3725,1.34,25.5509,26.6481,3.4796,4.3687,4.3057,,0.7704,4200.0,816.4562,816.4562,654192.0,127171.2177,0
301590.SZ,20250804,153.3,5.0283,5.0283,0.54,25.1474,26.2272,3.4246,4.2997,4.2377,,0.7828,4200.0,816.4562,816.4562,643860.0,125162.7355,0
301590.SZ,20250801,152.61,5.472,5.472,0.57,25.0342,26.1091,3.4092,4.2804,4.2187,,0.7863,4200.0,816.4562,816.4562,640962.0,124599.3807,0
301590.SZ,20250731,152.15,7.69,7.69,0.76,24.9587,26.0304,3.3989,4.2675,4.2059,,0.7887,4200.0,816.4562,816.4562,639030.0,124223.8108,0
301590.SZ,20250730,153.15,12.1443,12.1443,1.04,25.1228,26.2015,3.4213,4.2955,4.2336,,0.7835,4200.0,816.4562,816.4562,643230.0,125040.267,0
301590.SZ,20250729,156.98,15.7172,15.7172,1.44,25.7511,26.8568,3.5068,4.4029,4.3395,,0.7644,4200.0,816.4562,816.4562,659316.0,128167.2943,0
301590.SZ,20250728,153.9,5.4491,5.4491,0.48,25.2458,26.3298,3.438,4.3165,4.2543,,0.7797,4200.0,816.4562,816.4562,646380.0,125652.6092,0
301590.SZ,20250725,154.16,6.796,6.796,0.58,25.2885,26.3743,3.4438,4.3238,4.2615,,0.7784,4200.0,816.4562,816.4562,647472.0,125864.8878,0
301590.SZ,20250724,155.03,10.6469,10.6469,0.99,25.4312,26.5232,3.4633,4.3482,4.2856,,0.774,4200.0,816.4562,816.4562,651126.0,126575.2047,0
301590.SZ,20250723,155.37,19.5819,19.5819,2.31,25.4869,26.5813,3.4709,4.3578,4.295,,0.7723,4200.0,816.4562,816.4562,652554.0,126852.7998,0
