ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688396.SH,20241231,47.8,48.01,46.82,47.19,47.66,-0.47,-0.9862,92446.59,437727.996
688396.SH,20241230,47.4,47.97,47.01,47.66,47.36,0.3,0.6334,61329.81,291612.621
688396.SH,20241227,47.5,48.2,46.91,47.36,47.3,0.06,0.1268,93545.58,445404.333
688396.SH,20241226,47.0,47.59,46.83,47.3,46.93,0.37,0.7884,57112.02,270246.835
688396.SH,20241225,48.0,48.0,46.71,46.93,47.72,-0.79,-1.6555,56466.77,266416.306
688396.SH,20241224,47.2,47.85,46.77,47.72,47.13,0.59,1.2519,74018.91,350669.463
688396.SH,20241223,48.02,48.6,47.01,47.13,48.08,-0.95,-1.9759,85617.87,408928.352
688396.SH,20241220,47.51,49.08,47.34,48.08,47.51,0.57,1.1997,113817.7,548816.711
688396.SH,20241219,47.47,47.77,47.05,47.51,47.8,-0.29,-0.6067,78752.97,373527.743
688396.SH,20241218,48.49,48.64,47.28,47.8,48.01,-0.21,-0.4374,78587.99,377293.972
688396.SH,20241217,48.0,48.4,47.7,48.01,47.8,0.21,0.4393,46556.47,223875.687
688396.SH,20241216,48.68,48.92,47.61,47.8,48.7,-0.9,-1.848,56923.98,273980.205
688396.SH,20241213,48.39,49.32,47.51,48.7,48.81,-0.11,-0.2254,107790.63,522957.66
688396.SH,20241212,49.42,49.42,48.5,48.81,49.16,-0.35,-0.712,75173.68,366638.754
688396.SH,20241211,49.98,49.99,49.01,49.16,49.48,-0.32,-0.6467,66135.24,326488.894
688396.SH,20241210,51.79,51.97,49.46,49.48,49.45,0.03,0.0607,92419.79,467263.213
688396.SH,20241209,50.32,50.33,49.13,49.45,50.0,-0.55,-1.1,47606.91,236303.716
688396.SH,20241206,49.25,50.32,49.0,50.0,49.25,0.75,1.5228,74618.14,372568.497
688396.SH,20241205,49.59,50.0,49.0,49.25,49.73,-0.48,-0.9652,50677.9,250124.216
688396.SH,20241204,51.0,51.2,49.31,49.73,49.92,-0.19,-0.3806,85279.29,429337.728
688396.SH,20241203,50.75,51.2,49.41,49.92,50.35,-0.43,-0.854,67246.6,336130.433
688396.SH,20241202,50.48,51.28,50.08,50.35,50.36,-0.01,-0.0199,87333.07,441116.133
688396.SH,20241129,50.2,51.2,49.2,50.36,49.77,0.59,1.1855,72993.61,367614.804
688396.SH,20241128,50.35,50.85,49.5,49.77,50.25,-0.48,-0.9552,61295.11,307661.615
688396.SH,20241127,49.18,50.48,48.6,50.25,49.2,1.05,2.1341,70912.39,351937.657
688396.SH,20241126,49.49,49.95,48.9,49.2,49.6,-0.4,-0.8065,44512.96,219786.97
688396.SH,20241125,49.65,49.82,48.65,49.6,49.65,-0.05,-0.1007,70488.7,346418.535
688396.SH,20241122,51.98,52.36,49.51,49.65,51.98,-2.33,-4.4825,93811.1,477756.019
688396.SH,20241121,53.0,53.25,51.61,51.98,53.0,-1.02,-1.9245,88307.96,463481.373
688396.SH,20241120,53.35,54.0,52.51,53.0,53.35,-0.35,-0.656,65870.99,350410.39
688396.SH,20241119,51.9,53.59,51.18,53.35,51.25,2.1,4.0976,90572.91,474654.918
688396.SH,20241118,52.78,53.0,50.7,51.25,52.8,-1.55,-2.9356,109589.22,566473.272
688396.SH,20241115,53.9,55.42,52.8,52.8,53.41,-0.61,-1.1421,127510.56,693385.523
688396.SH,20241114,55.36,55.93,53.19,53.41,55.52,-2.11,-3.8004,94842.79,518676.158
688396.SH,20241113,55.68,56.86,54.68,55.52,56.13,-0.61,-1.0868,115535.47,643666.984
688396.SH,20241112,56.5,57.66,55.6,56.13,56.95,-0.82,-1.4399,173800.42,983637.387
688396.SH,20241111,53.91,57.77,53.0,56.95,53.14,3.81,7.1697,233331.02,1301264.556
688396.SH,20241108,54.49,55.5,53.01,53.14,53.0,0.14,0.2642,178159.45,965856.914
688396.SH,20241107,50.86,53.25,50.48,53.0,50.85,2.15,4.2281,128673.68,667963.463
688396.SH,20241106,51.31,51.96,50.58,50.85,51.18,-0.33,-0.6448,128160.88,656349.206
688396.SH,20241105,49.58,51.34,49.23,51.18,49.49,1.69,3.4148,142605.97,720914.986
688396.SH,20241104,49.3,50.1,48.77,49.49,49.31,0.18,0.365,61746.43,305198.755
688396.SH,20241101,50.66,50.92,49.31,49.31,50.4,-1.09,-2.1627,80292.35,401156.629
688396.SH,20241031,49.67,50.94,49.16,50.4,49.69,0.71,1.4289,101748.42,510226.338
688396.SH,20241030,51.48,51.48,49.4,49.69,51.2,-1.51,-2.9492,83929.36,421767.722
688396.SH,20241029,51.9,52.6,51.2,51.2,51.9,-0.7,-1.3487,88743.35,460941.993
