ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
603338.SH,20231229,51.17,0.5969,1.3916,1.53,20.6085,15.4753,3.1957,4.7583,4.3046,0.6645,0.9771,50634.7879,50634.7879,21719.4099,2590982.0968,2590982.0968,0.0
603338.SH,20231228,50.61,0.4226,0.9852,1.09,20.383,15.3059,3.1607,4.7063,4.2575,0.6718,0.9879,50634.7879,50634.7879,21719.4099,2562626.6156,2562626.6156,
603338.SH,20231227,50.28,0.2574,0.6,0.64,20.25,15.2061,3.1401,4.6756,4.2298,0.6762,0.9944,50634.7879,50634.7879,21719.4099,2545917.1356,2545917.1356,0.0
603338.SH,20231226,50.29,0.3305,0.7705,0.81,20.2541,15.2092,3.1407,4.6765,4.2306,0.6761,0.9942,50634.7879,50634.7879,21719.4099,2546423.4835,2546423.4835,
603338.SH,20231225,50.6,0.4728,1.1022,1.07,20.3789,15.3029,3.1601,4.7053,4.2567,0.6719,0.9881,50634.7879,50634.7879,21719.4099,2562120.2677,2562120.2677,
603338.SH,20231222,49.34,0.4663,1.0872,0.92,19.8715,14.9218,3.0814,4.5882,4.1507,0.6891,1.0134,50634.7879,50634.7879,21719.4099,2498320.435,2498320.435,
603338.SH,20231221,49.0,0.4052,0.9447,0.74,19.7345,14.819,3.0602,4.5565,4.1221,0.6939,1.0204,50634.7879,50634.7879,21719.4099,2481104.6071,2481104.6071,
603338.SH,20231220,48.38,0.3236,0.7544,0.56,19.4848,14.6315,3.0214,4.4989,4.0699,0.7028,1.0335,50634.7879,50634.7879,21719.4099,2449711.0386,2449711.0386,
603338.SH,20231219,48.69,0.3848,0.8971,0.66,19.6097,14.7253,3.0408,4.5277,4.096,0.6983,1.0269,50634.7879,50634.7879,21719.4099,2465407.8229,2465407.8229,0.0
603338.SH,20231218,47.79,0.6345,1.4792,1.2,19.2472,14.4531,2.9846,4.444,4.0203,0.7114,1.0462,50634.7879,50634.7879,21719.4099,2419836.5137,2419836.5137,0.0
603338.SH,20231215,48.84,0.7827,1.8246,1.6,19.6701,14.7706,3.0502,4.5417,4.1086,0.6962,1.0238,50634.7879,50634.7879,21719.4099,2473003.041,2473003.041,0.0
603338.SH,20231214,48.0,0.6248,1.4565,1.51,19.3318,14.5166,2.9977,4.4635,4.038,0.7083,1.0417,50634.7879,50634.7879,21719.4099,2430469.8192,2430469.8192,0.0
603338.SH,20231213,47.79,0.4752,1.1079,1.22,19.2472,14.4531,2.9846,4.444,4.0203,0.7114,1.0462,50634.7879,50634.7879,21719.4099,2419836.5137,2419836.5137,0.0
603338.SH,20231212,47.6,0.3924,0.9148,0.98,19.1707,14.3956,2.9727,4.4264,4.0043,0.7143,1.0504,50634.7879,50634.7879,21719.4099,2410215.904,2410215.904,0.0
603338.SH,20231211,47.61,0.3692,0.8608,0.83,19.1747,14.3986,2.9734,4.4273,4.0051,0.7141,1.0502,50634.7879,50634.7879,21719.4099,2410722.2519,2410722.2519,0.0
603338.SH,20231208,46.87,0.5913,1.3785,1.46,18.8767,14.1748,2.9271,4.3585,3.9429,0.7254,1.0668,50634.7879,50634.7879,21719.4099,2373252.5089,2373252.5089,0.0
603338.SH,20231207,47.1,0.2435,0.5678,0.55,18.9693,14.2444,2.9415,4.3799,3.9622,0.7219,1.0616,50634.7879,50634.7879,21719.4099,2384898.5101,2384898.5101,0.0
603338.SH,20231206,47.4,0.3565,0.8311,0.8,19.0901,14.3351,2.9602,4.4078,3.9875,0.7173,1.0549,50634.7879,50634.7879,21719.4099,2400088.9465,2400088.9465,0.0
603338.SH,20231205,47.73,0.4422,1.031,1.08,19.223,14.4349,2.9808,4.4384,4.0152,0.7123,1.0476,50634.7879,50634.7879,21719.4099,2416798.4265,2416798.4265,0.0
603338.SH,20231204,48.26,0.5997,1.398,1.61,19.4365,14.5952,3.0139,4.4877,4.0598,0.7045,1.0361,50634.7879,50634.7879,21719.4099,2443634.8641,2443634.8641,0.0
603338.SH,20231201,47.88,0.3898,0.9087,1.02,19.2835,14.4803,2.9902,4.4524,4.0279,0.7101,1.0443,50634.7879,50634.7879,21719.4099,2424393.6447,2424393.6447,0.0
603338.SH,20231130,48.6,0.4222,0.9842,1.12,19.5734,14.698,3.0352,4.5193,4.0884,0.6996,1.0288,50634.7879,50634.7879,21719.4099,2460850.6919,2460850.6919,0.0
603338.SH,20231129,48.35,0.3759,0.8763,0.9,19.4728,14.6224,3.0196,4.4961,4.0674,0.7032,1.0341,50634.7879,50634.7879,21719.4099,2448191.995,2448191.995,0.0
603338.SH,20231128,48.91,0.2644,0.6163,0.54,19.6983,14.7918,3.0545,4.5482,4.1145,0.6952,1.0223,50634.7879,50634.7879,21719.4099,2476547.4762,2476547.4762,0.0
603338.SH,20231127,48.68,0.4056,0.9455,0.77,19.6057,14.7222,3.0402,4.5268,4.0952,0.6984,1.0271,50634.7879,50634.7879,21719.4099,2464901.475,2464901.475,0.0
603338.SH,20231124,48.35,0.4507,1.0506,0.91,19.4728,14.6224,3.0196,4.4961,4.0674,0.7032,1.0341,50634.7879,50634.7879,21719.4099,2448191.995,2448191.995,0.0
