ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300486.SZ,20221230,8.03,8.22,8.03,8.22,8.05,0.17,2.1118,14135.45,11504.047
300486.SZ,20221229,8.02,8.16,8.01,8.05,8.05,0.0,0.0,8634.45,6943.082
300486.SZ,20221228,8.21,8.22,8.02,8.05,8.2,-0.15,-1.8293,11446.5,9242.662
300486.SZ,20221227,8.21,8.25,8.12,8.2,8.2,0.0,0.0,10681.5,8760.834
300486.SZ,20221226,8.22,8.22,8.0,8.2,8.1,0.1,1.2346,11349.25,9267.935
300486.SZ,20221223,8.05,8.2,8.04,8.1,8.07,0.03,0.3717,12717.25,10313.302
300486.SZ,20221222,8.3,8.35,8.01,8.07,8.25,-0.18,-2.1818,17920.5,14658.383
300486.SZ,20221221,8.38,8.43,8.21,8.25,8.38,-0.13,-1.5513,11674.25,9682.085
300486.SZ,20221220,8.33,8.45,8.22,8.38,8.34,0.04,0.4796,15292.0,12776.137
300486.SZ,20221219,8.89,8.89,8.29,8.34,8.81,-0.47,-5.3348,36938.0,31348.109
300486.SZ,20221216,9.04,9.05,8.76,8.81,9.08,-0.27,-2.9736,35652.75,31634.267
300486.SZ,20221215,8.64,9.15,8.61,9.08,8.68,0.4,4.6083,83216.26,74779.094
300486.SZ,20221214,8.51,8.91,8.51,8.68,8.51,0.17,1.9976,27754.25,24305.463
300486.SZ,20221213,8.65,8.66,8.5,8.51,8.6,-0.09,-1.0465,11934.5,10211.089
300486.SZ,20221212,8.76,8.76,8.58,8.6,8.76,-0.16,-1.8265,14976.5,12945.927
300486.SZ,20221209,8.74,8.82,8.64,8.76,8.75,0.01,0.1143,18554.75,16160.012
300486.SZ,20221208,8.74,8.83,8.67,8.75,8.77,-0.02,-0.2281,15227.0,13316.929
300486.SZ,20221207,8.8,8.84,8.72,8.77,8.75,0.02,0.2286,15789.75,13846.763
300486.SZ,20221206,8.85,8.85,8.7,8.75,8.8,-0.05,-0.5682,23820.66,20859.876
300486.SZ,20221205,8.8,9.05,8.77,8.8,8.75,0.05,0.5714,40407.25,36008.454
300486.SZ,20221202,8.72,8.81,8.71,8.75,8.73,0.02,0.2291,13421.0,11757.921
300486.SZ,20221201,8.7,8.87,8.67,8.73,8.63,0.1,1.1587,20995.5,18374.972
300486.SZ,20221130,8.7,8.75,8.62,8.63,8.7,-0.07,-0.8046,17513.03,15203.395
300486.SZ,20221129,8.65,8.75,8.62,8.7,8.61,0.09,1.0453,19299.75,16758.8
300486.SZ,20221128,8.61,8.65,8.49,8.61,8.58,0.03,0.3497,10468.0,8985.468
300486.SZ,20221125,8.67,8.78,8.58,8.58,8.73,-0.15,-1.7182,16988.0,14672.822
300486.SZ,20221124,8.74,9.05,8.7,8.73,8.74,-0.01,-0.1144,29847.5,26492.96
