ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
600857.SH,20260209,13.82,1.4354,2.3552,0.86,,81.6517,3.4802,3.7471,6.1451,,,22431.9919,22431.9919,13672.1098,310010.1281,310010.1281,0
600857.SH,20260206,13.68,1.7482,2.8682,0.96,,80.8245,3.4449,3.7091,6.0828,,,22431.9919,22431.9919,13672.1098,306869.6492,306869.6492,0
600857.SH,20260205,13.79,1.8631,3.0569,,,81.4744,3.4726,3.739,6.1317,,,22431.9919,22431.9919,13672.1098,309337.1683,309337.1683,0
600857.SH,20260204,13.63,1.1791,1.9346,0.44,,80.5291,3.4323,3.6956,6.0606,,,22431.9919,22431.9919,13672.1098,305748.0496,305748.0496,0
600857.SH,20260203,13.58,1.4902,2.4451,0.47,,80.2337,3.4197,3.682,6.0384,,,22431.9919,22431.9919,13672.1098,304626.45,304626.45,0
600857.SH,20260202,13.38,2.0261,3.3243,0.52,,79.052,3.3694,3.6278,5.9494,,,22431.9919,22431.9919,13672.1098,300140.0516,300140.0516,0
600857.SH,20260130,13.8,2.5926,4.2537,0.64,,81.5335,3.4751,3.7417,6.1362,,,22431.9919,22431.9919,13672.1098,309561.4882,309561.4882,0
600857.SH,20260129,13.71,3.6707,6.0226,,,81.0018,3.4525,3.7173,6.0962,,,22431.9919,22431.9919,13672.1098,307542.6089,307542.6089,0
600857.SH,20260128,14.09,3.6899,6.0541,0.97,,83.2469,3.5482,3.8203,6.2651,,,22431.9919,22431.9919,13672.1098,316066.7659,316066.7659,0
600857.SH,20260127,13.95,4.0136,6.5852,,,82.4197,3.5129,3.7824,6.2029,,,22431.9919,22431.9919,13672.1098,312926.287,312926.287,0
600857.SH,20260126,14.37,5.5144,9.0475,,,84.9012,3.6187,3.8962,6.3896,,,22431.9919,22431.9919,13672.1098,322347.7236,322347.7236,0
600857.SH,20260123,14.26,3.4477,5.6567,1.24,,84.2513,3.591,3.8664,6.3407,,,22431.9919,22431.9919,13672.1098,319880.2045,319880.2045,0
600857.SH,20260122,14.39,3.8138,6.2573,1.38,,85.0193,3.6237,3.9017,6.3985,,,22431.9919,22431.9919,13672.1098,322796.3634,322796.3634,0
600857.SH,20260121,13.96,2.3132,3.7953,,,82.4788,3.5154,3.7851,6.2073,,,22431.9919,22431.9919,13672.1098,313150.6069,313150.6069,0
600857.SH,20260120,14.17,2.5355,4.1601,,,83.7195,3.5683,3.842,6.3007,0.0,,22431.9919,22431.9919,13672.1098,317861.3252,317861.3252,0
600857.SH,20260119,14.15,2.8659,4.7022,0.86,,83.6014,3.5633,3.8366,6.2918,0.0,,22431.9919,22431.9919,13672.1098,317412.6854,317412.6854,0
600857.SH,20260116,13.83,2.3818,3.9079,0.67,,81.7107,3.4827,3.7498,6.1495,0.0,,22431.9919,22431.9919,13672.1098,310234.448,310234.448,0
600857.SH,20260115,14.09,3.6945,6.0615,,,83.2469,3.5482,3.8203,6.2651,0.0,,22431.9919,22431.9919,13672.1098,316066.7659,316066.7659,0
600857.SH,20260114,13.95,3.6659,6.0147,1.22,,82.4197,3.5129,3.7824,6.2029,0.0,,22431.9919,22431.9919,13672.1098,312926.287,312926.287,0
600857.SH,20260113,13.69,3.0143,4.9456,,,80.8836,3.4474,3.7119,6.0873,0.0,,22431.9919,22431.9919,13672.1098,307093.9691,307093.9691,0
600857.SH,20260112,13.98,3.9203,6.4321,1.59,,82.597,3.5205,3.7905,6.2162,0.0,,22431.9919,22431.9919,13672.1098,313599.2468,313599.2468,0
600857.SH,20260109,13.95,3.4642,5.6837,1.65,,82.4197,3.5129,3.7824,6.2029,0.0,,22431.9919,22431.9919,13672.1098,312926.287,312926.287,0
600857.SH,20260108,13.96,2.1828,3.5814,,,82.4788,3.5154,3.7851,6.2073,0.0,,22431.9919,22431.9919,13672.1098,313150.6069,313150.6069,0
600857.SH,20260107,14.1,2.4624,4.0401,1.26,,83.306,3.5507,3.823,6.2696,0.0,,22431.9919,22431.9919,13672.1098,316291.0858,316291.0858,0
600857.SH,20260106,13.98,1.944,3.1895,0.95,,82.597,3.5205,3.7905,6.2162,0.0,,22431.9919,22431.9919,13672.1098,313599.2468,313599.2468,0
600857.SH,20260105,13.95,2.2848,3.7487,1.02,,82.4197,3.5129,3.7824,6.2029,0.0,,22431.9919,22431.9919,13672.1098,312926.287,312926.287,0
