ts_code,csname,extname,cname,index_code,index_name,setup_date,list_date,list_status,exchange,mgr_name,custod_name,mgt_fee,etf_type
518850.SH,华夏黄金ETF,黄金ETF华夏,华夏黄金交易型开放式证券投资基金,Au99.99.SGE,黄金9999,20200413,20200605,L,SH,华夏基金,中国建设银行股份有限公司,0.15,纯境内
518860.SH,建信上海金ETF,黄金ETFAU,建信上海金交易型开放式证券投资基金,SHAU.SGE,黄金集中定价(SHAU合约),20200805,20200907,L,SH,建信基金,交通银行股份有限公司,0.5,纯境内
518880.SH,华安黄金易(ETF),黄金ETF,华安易富黄金交易型开放式证券投资基金,Au99.99.SGE,黄金9999,20130718,20130729,L,SH,华安基金,中国建设银行股份有限公司,0.5,纯境内
518890.SH,中银黄金,中银上海金ETF,中银上海金交易型开放式证券投资基金,SHAU.SGE,黄金集中定价(SHAU合约),20200828,20200928,L,SH,中银基金,招商银行股份有限公司,0.5,纯境内
520500.SH,恒生新药,恒生创新药ETF,华泰柏瑞恒生创新药交易型开放式指数证券投资基金(QDII),HSIDI.HI,恒生创新药指数,20241216,20241227,L,SH,华泰柏瑞基金,中国农业银行股份有限公司,0.5,QDII
520510.SH,华夏中证港股通医疗主题ETF,港股通医疗ETF,华夏中证港股通医疗主题交易型开放式指数证券投资基金,932069.CSI,中证港股通医疗主题指数,20250728,20250807,L,SH,华夏基金,国信证券股份有限公司,0.5,纯境内
520520.SH,HK消费,恒生消费ETF华泰柏瑞,华泰柏瑞恒生消费交易型开放式指数证券投资基金(QDII),HSCGSI.HI,恒生消费指数,20241023,20241101,L,SH,华泰柏瑞基金,招商银行股份有限公司,0.5,QDII
520530.SH,港股通科技ETF东财,港股通科技ETF东财,西藏东财中证港股通科技交易型开放式指数证券投资基金,931573CNY00.CSI,中证港股通科技人民币指数,20251118,20251208,P,SH,东财基金,招商证券股份有限公司,0.5,纯境内
520550.SH,招商恒生港股通高股息低波动ETF,港股红利低波ETF,招商恒生港股通高股息低波动交易型开放式指数证券投资基金,HSHYLV.HI,恒生港股通高股息低波动指数,20250115,20250124,L,SH,招商基金,兴业银行股份有限公司,0.15,纯境内
520560.SH,华宝港股通恒生中国(香港上市)30ETF,香港大盘30ETF,华宝港股通恒生中国(香港上市)30交易型开放式指数证券投资基金,HSFML25.HI,恒生中国(香港上市)30指数,20250924,20251013,L,SH,华宝基金,招商证券股份有限公司,0.5,纯境内
