ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600397.SH,20241231,3.84,4.22,3.84,4.22,3.84,0.38,9.8958,828309.52,339148.167
600397.SH,20241230,3.84,3.84,3.55,3.84,3.49,0.35,10.0287,1845713.87,697779.107
600397.SH,20241227,3.49,3.49,3.38,3.49,3.17,0.32,10.0946,714458.25,248923.651
600397.SH,20241226,3.17,3.17,3.17,3.17,2.88,0.29,10.0694,145518.02,46129.212
600397.SH,20241225,2.77,2.98,2.77,2.88,2.78,0.1,3.5971,675224.84,194718.911
600397.SH,20241224,2.68,2.89,2.63,2.78,2.63,0.15,5.7034,646167.18,178814.72
600397.SH,20241223,2.74,2.76,2.58,2.63,2.74,-0.11,-4.0146,356520.0,94886.843
600397.SH,20241220,2.75,2.79,2.72,2.74,2.75,-0.01,-0.3636,134405.0,37028.318
600397.SH,20241219,2.74,2.78,2.69,2.75,2.75,0.0,0.0,190496.13,52035.857
600397.SH,20241218,2.75,2.79,2.67,2.75,2.72,0.03,1.1029,207682.23,57005.501
600397.SH,20241217,2.88,2.9,2.7,2.72,2.88,-0.16,-5.5556,316013.0,87116.712
600397.SH,20241216,2.85,2.95,2.84,2.88,2.84,0.04,1.4085,261288.2,75442.555
600397.SH,20241213,2.95,2.96,2.82,2.84,2.95,-0.11,-3.7288,282893.51,81028.713
600397.SH,20241212,2.93,3.02,2.9,2.95,2.93,0.02,0.6826,320437.79,94738.282
600397.SH,20241211,2.75,2.94,2.74,2.93,2.76,0.17,6.1594,485587.79,140128.255
600397.SH,20241210,2.88,2.9,2.75,2.76,2.84,-0.08,-2.8169,315258.02,88757.591
600397.SH,20241209,2.88,2.9,2.8,2.84,2.86,-0.02,-0.6993,237189.0,67586.498
600397.SH,20241206,2.77,2.86,2.77,2.86,2.78,0.08,2.8777,299631.06,84885.894
600397.SH,20241205,2.73,2.78,2.7,2.78,2.74,0.04,1.4599,160214.0,44002.504
600397.SH,20241204,2.74,2.8,2.71,2.74,2.75,-0.01,-0.3636,224950.0,62287.497
600397.SH,20241203,2.75,2.77,2.7,2.75,2.73,0.02,0.7326,190291.0,52038.939
600397.SH,20241202,2.64,2.74,2.63,2.73,2.64,0.09,3.4091,248026.0,67046.272
600397.SH,20241129,2.61,2.67,2.58,2.64,2.63,0.01,0.3802,171224.0,45127.283
600397.SH,20241128,2.59,2.69,2.57,2.63,2.61,0.02,0.7663,211470.57,55881.547
600397.SH,20241127,2.64,2.65,2.52,2.61,2.63,-0.02,-0.7605,181889.0,46651.219
600397.SH,20241126,2.58,2.67,2.57,2.63,2.58,0.05,1.938,230908.0,60548.689
600397.SH,20241125,2.5,2.59,2.48,2.58,2.5,0.08,3.2,158354.0,40199.512
600397.SH,20241122,2.58,2.62,2.5,2.5,2.58,-0.08,-3.1008,211397.0,54391.354
600397.SH,20241121,2.57,2.61,2.54,2.58,2.58,0.0,0.0,133384.0,34336.92
600397.SH,20241120,2.5,2.58,2.49,2.58,2.52,0.06,2.381,179173.2,45697.541
600397.SH,20241119,2.54,2.54,2.44,2.52,2.53,-0.01,-0.3953,204356.45,50800.411
600397.SH,20241118,2.53,2.6,2.51,2.53,2.51,0.02,0.7968,241638.36,61539.104
600397.SH,20241115,2.61,2.63,2.51,2.51,2.62,-0.11,-4.1985,238747.0,61268.259
600397.SH,20241114,2.66,2.67,2.61,2.62,2.66,-0.04,-1.5038,180089.0,47569.407
600397.SH,20241113,2.66,2.72,2.63,2.66,2.68,-0.02,-0.7463,202827.87,54108.533
600397.SH,20241112,2.72,2.74,2.65,2.68,2.75,-0.07,-2.5455,278332.0,75109.31
600397.SH,20241111,2.77,2.8,2.69,2.75,2.84,-0.09,-3.169,457923.0,124959.016
600397.SH,20241108,2.8,2.92,2.69,2.84,2.81,0.03,1.0676,669108.62,185070.381
