ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
300191.SZ,20221230,17.15,0.6618,0.8725,0.66,160.0765,107.3705,4.3302,13.5044,11.7066,0.1166,0.1166,32000.0,22007.0,16692.0,548800.0,377420.05,0.0
300191.SZ,20221229,17.02,0.9653,1.2726,0.9,158.8631,106.5566,4.2973,13.4021,11.6179,0.1175,0.1175,32000.0,22007.0,16692.0,544640.0,374559.14,0.0
300191.SZ,20221228,17.42,1.1016,1.4524,1.12,162.5966,109.0609,4.3983,13.717,11.8909,0.1148,0.1148,32000.0,22007.0,16692.0,557440.0,383361.94,0.0
300191.SZ,20221227,17.53,1.1789,1.5543,1.36,163.6234,109.7496,4.4261,13.8036,11.966,0.1141,0.1141,32000.0,22007.0,16692.0,560960.0,385782.71,0.0
300191.SZ,20221226,17.5,1.2142,1.6009,1.48,163.3434,109.5617,4.4185,13.78,11.9455,0.1143,0.1143,32000.0,22007.0,16692.0,560000.0,385122.5,0.0
300191.SZ,20221223,17.2,0.5388,0.7104,0.6,160.5432,107.6835,4.3428,13.5438,11.7408,0.1163,0.1163,32000.0,22007.0,16692.0,550400.0,378520.4,0.0
300191.SZ,20221222,17.26,1.3561,1.7879,1.61,161.1032,108.0592,4.3579,13.591,11.7817,0.1159,0.1159,32000.0,22007.0,16692.0,552320.0,379840.82,0.0
300191.SZ,20221221,17.09,0.617,0.8135,0.7,159.5165,106.9949,4.315,13.4572,11.6657,0.117,0.117,32000.0,22007.0,16692.0,546880.0,376099.63,0.0
300191.SZ,20221220,17.18,0.6017,0.7933,0.66,160.3565,107.5583,4.3377,13.528,11.7271,0.1164,0.1164,32000.0,22007.0,16692.0,549760.0,378080.26,0.0
300191.SZ,20221219,17.12,0.9847,1.2982,1.09,159.7965,107.1827,4.3226,13.4808,11.6862,0.1168,0.1168,32000.0,22007.0,16692.0,547840.0,376759.84,0.0
300191.SZ,20221216,17.58,0.9516,1.2546,1.02,164.0901,110.0626,4.4387,13.843,12.0002,0.1138,0.1138,32000.0,22007.0,16692.0,562560.0,386883.06,0.0
