ts_code,name,trade_date,open,high,low,close,pre_close,change,vol,amount,turnover_rate,float_share,area,industry,market,total_mv,limit
301288.SZ,*ST清研,20260209,19.13,19.38,18.77,18.99,18.99,0.0,18981.0,36281.388,2.43,7810.9621,深圳,环境保护,创业板,205110.99,N
301288.SZ,*ST清研,20260206,18.81,19.11,18.58,18.99,18.84,0.7962,3214.0,6076.104,0.4115,7810.9621,深圳,环境保护,创业板,205110.99,N
301288.SZ,*ST清研,20260205,18.48,19.23,18.35,18.84,18.46,2.0585,14994.0,28256.873,1.9196,7810.9621,深圳,环境保护,创业板,203490.84,N
301288.SZ,*ST清研,20260204,18.46,18.6,18.3,18.46,18.46,0.0,4441.0,8180.439,0.5686,7810.9621,深圳,环境保护,创业板,199386.46,N
301288.SZ,*ST清研,20260203,18.82,18.97,18.3,18.46,18.78,-1.7039,9333.02,17310.876,1.1949,7810.9621,深圳,环境保护,创业板,199386.46,N
301288.SZ,*ST清研,20260202,19.87,19.92,18.78,18.78,19.87,-5.4857,10376.0,19953.596,1.3284,7810.9621,深圳,环境保护,创业板,202842.78,N
301288.SZ,*ST清研,20260130,19.27,20.45,19.04,19.87,19.4,2.4227,8737.0,17261.769,1.1186,7810.9621,深圳,环境保护,创业板,214615.87,N
301288.SZ,*ST清研,20260129,19.38,20.05,19.1,19.4,19.37,0.1549,14692.0,28837.896,1.8809,7810.9621,深圳,环境保护,创业板,209539.4,N
301288.SZ,*ST清研,20260128,20.09,20.29,19.01,19.37,20.11,-3.6798,7689.0,15119.299,0.9844,7810.9621,深圳,环境保护,创业板,209215.37,N
301288.SZ,*ST清研,20260127,20.0,20.42,19.88,20.11,20.0,0.55,5205.0,10450.321,0.6664,7810.9621,深圳,环境保护,创业板,217208.11,N
301288.SZ,*ST清研,20260126,20.01,20.25,19.83,20.0,20.01,-0.05,4889.0,9780.068,0.6259,7810.9621,深圳,环境保护,创业板,216020.0,N
301288.SZ,*ST清研,20260123,19.77,20.21,19.77,20.01,19.91,0.5023,5213.0,10437.964,0.6674,7810.9621,深圳,环境保护,创业板,216128.01,N
301288.SZ,*ST清研,20260122,20.61,20.91,19.89,19.91,20.6,-3.3495,9479.0,19052.426,1.2136,7810.9621,深圳,环境保护,创业板,215047.91,N
301288.SZ,*ST清研,20260121,20.4,20.62,20.0,20.6,20.33,1.3281,7276.0,14779.37,0.9315,7810.9621,深圳,环境保护,创业板,222500.6,N
301288.SZ,*ST清研,20260120,19.88,20.53,19.75,20.33,19.73,3.0411,8398.0,16938.642,1.0752,7810.9621,深圳,环境保护,创业板,219584.33,N
301288.SZ,*ST清研,20260119,19.7,20.35,19.66,19.73,19.69,0.2031,7789.66,15559.768,0.9973,7810.9621,深圳,环境保护,创业板,213103.73,N
301288.SZ,*ST清研,20260116,20.5,20.6,19.54,19.69,20.65,-4.6489,8497.0,16909.502,1.0878,7810.9621,深圳,环境保护,创业板,212671.69,N
301288.SZ,*ST清研,20260115,20.45,20.75,20.05,20.65,20.45,0.978,6006.0,12305.264,0.7689,7810.9621,深圳,环境保护,创业板,223040.65,N
301288.SZ,*ST清研,20260114,18.78,21.31,18.78,20.45,18.57,10.1239,19731.91,39762.998,2.5262,7810.9621,深圳,环境保护,创业板,220880.45,N
301288.SZ,*ST清研,20260113,18.63,18.85,18.31,18.57,18.62,-0.2685,4142.0,7687.695,0.5303,7810.9621,深圳,环境保护,创业板,200574.57,N
301288.SZ,*ST清研,20260112,19.2,19.2,18.36,18.62,19.1,-2.5131,10032.0,18765.146,1.2843,7810.9621,深圳,环境保护,创业板,201114.62,N
301288.SZ,*ST清研,20260109,19.0,19.3,18.9,19.1,19.0,0.5263,4253.0,8147.877,0.5445,7810.9621,深圳,环境保护,创业板,206299.1,N
301288.SZ,*ST清研,20260108,18.93,19.1,18.67,19.0,18.78,1.1715,5171.0,9792.484,0.662,7810.9621,深圳,环境保护,创业板,205219.0,N
301288.SZ,*ST清研,20260107,19.19,19.19,18.57,18.78,18.9,-0.6349,4437.0,8350.173,0.568,7810.9621,深圳,环境保护,创业板,202842.78,N
