ts_code,name,trade_date,open,high,low,close,pre_close,change,vol,amount,turnover_rate,float_share,area,industry,market,total_mv,limit
002628.SZ,成都路桥,20260205,4.47,4.48,4.39,4.4,4.47,-1.566,142087.0,62953.083,1.885,75378.4802,四川,建筑工程,主板,333124.1826,N
002628.SZ,成都路桥,20260204,4.45,4.5,4.4,4.47,4.41,1.3605,180054.73,80250.146,2.3887,75378.4802,四川,建筑工程,主板,338423.8855,N
002628.SZ,成都路桥,20260203,4.4,4.55,4.39,4.41,4.32,2.0833,272191.0,120621.888,3.611,75378.4802,四川,建筑工程,主板,333881.283,N
002628.SZ,成都路桥,20260202,4.48,4.55,4.2,4.32,4.65,-7.0968,353961.97,156468.415,4.6958,75378.4802,四川,建筑工程,主板,327067.3793,N
002628.SZ,成都路桥,20260130,4.65,4.71,4.58,4.65,4.64,0.2155,267954.16,124492.021,3.5548,75378.4802,四川,建筑工程,主板,352051.693,N
002628.SZ,成都路桥,20260129,4.83,4.84,4.59,4.64,4.83,-3.9337,473623.33,221578.701,6.2833,75378.4802,四川,建筑工程,主板,351294.5926,N
002628.SZ,成都路桥,20260128,4.78,4.99,4.78,4.83,4.9,-1.4286,445797.5,217759.907,5.9141,75378.4802,四川,建筑工程,主板,365679.5004,N
002628.SZ,成都路桥,20260127,4.84,4.94,4.71,4.9,4.9,0.0,475128.29,230026.133,6.3032,75378.4802,四川,建筑工程,主板,370979.2034,N
002628.SZ,成都路桥,20260126,4.86,4.94,4.8,4.9,4.73,3.5941,677856.07,330682.434,8.9927,75378.4802,四川,建筑工程,主板,370979.2034,N
002628.SZ,成都路桥,20260123,4.62,4.91,4.58,4.73,4.6,2.8261,570029.48,271346.577,7.5622,75378.4802,四川,建筑工程,主板,358108.4963,N
002628.SZ,成都路桥,20260122,4.5,4.64,4.5,4.6,4.48,2.6786,396127.4,181413.914,5.2552,75378.4802,四川,建筑工程,主板,348266.1909,N
002628.SZ,成都路桥,20260121,4.57,4.57,4.4,4.48,4.61,-2.82,347176.0,154991.667,4.6058,75378.4802,四川,建筑工程,主板,339180.9859,N
