ts_code,name,trade_date,open,high,low,close,pre_close,change,vol,amount,turnover_rate,float_share,area,industry,market,total_mv,limit
300157.SZ,新锦动力,20260206,6.07,6.58,5.85,6.33,6.04,4.8013,1752350.35,1093570.416,24.7568,70782.4632,北京,专用机械,创业板,477242.5685,N
300157.SZ,新锦动力,20260205,6.0,6.42,6.0,6.04,6.13,-1.4682,1622516.45,995578.368,22.9226,70782.4632,北京,专用机械,创业板,455378.375,N
300157.SZ,新锦动力,20260204,5.51,6.41,5.45,6.13,5.45,12.4771,1982515.64,1199766.412,28.0086,70782.4632,北京,专用机械,创业板,462163.8144,N
300157.SZ,新锦动力,20260203,5.31,5.53,5.29,5.45,5.29,3.0246,791043.25,428648.782,11.1757,70782.4632,北京,专用机械,创业板,410896.0503,N
300157.SZ,新锦动力,20260202,5.13,5.49,5.11,5.29,5.68,-6.8662,1164206.0,620055.493,16.4477,70782.4632,北京,专用机械,创业板,398833.047,N
300157.SZ,新锦动力,20260130,6.0,6.1,5.47,5.68,6.34,-10.4101,1903898.78,1090068.617,26.8979,70782.4632,北京,专用机械,创业板,428236.6176,N
300157.SZ,新锦动力,20260129,5.61,6.48,5.46,6.34,5.53,14.6474,2395272.82,1408909.011,33.8399,70782.4632,北京,专用机械,创业板,477996.5062,N
300157.SZ,新锦动力,20260128,5.32,5.7,5.27,5.53,5.23,5.7361,1565078.83,859327.063,22.1111,70782.4632,北京,专用机械,创业板,416927.552,N
300157.SZ,新锦动力,20260127,5.21,5.4,5.15,5.23,5.35,-2.243,640076.0,334793.087,9.0429,70782.4632,北京,专用机械,创业板,394309.4208,N
300157.SZ,新锦动力,20260126,5.18,5.4,5.16,5.35,5.13,4.2885,1039192.76,551451.343,14.6815,70782.4632,北京,专用机械,创业板,403356.6732,N
300157.SZ,新锦动力,20260123,5.11,5.17,5.07,5.13,5.14,-0.1946,486987.49,249309.658,6.8801,70782.4632,北京,专用机械,创业板,386770.0437,N
300157.SZ,新锦动力,20260122,4.94,5.2,4.92,5.14,4.95,3.8384,737160.5,377611.808,10.4145,70782.4632,北京,专用机械,创业板,387523.9814,N
300157.SZ,新锦动力,20260121,4.85,4.97,4.84,4.95,4.89,1.227,291985.78,143920.46,4.1251,70782.4632,北京,专用机械,创业板,373199.165,N
300157.SZ,新锦动力,20260120,4.89,4.91,4.8,4.89,4.9,-0.2041,262452.86,127620.726,3.7079,70782.4632,北京,专用机械,创业板,368675.5387,N
300157.SZ,新锦动力,20260119,4.86,4.93,4.81,4.9,4.86,0.823,267141.77,130265.98,3.7741,70782.4632,北京,专用机械,创业板,369429.4764,N
300157.SZ,新锦动力,20260116,4.99,4.99,4.82,4.86,5.01,-2.994,503607.01,245810.658,7.1149,70782.4632,北京,专用机械,创业板,366413.7256,N
300157.SZ,新锦动力,20260115,5.0,5.1,4.94,5.01,5.11,-1.9569,536578.12,268457.966,7.5807,70782.4632,北京,专用机械,创业板,377722.7912,N
300157.SZ,新锦动力,20260114,4.97,5.24,4.93,5.11,4.97,2.8169,887952.33,451622.916,12.5448,70782.4632,北京,专用机械,创业板,385262.1683,N
300157.SZ,新锦动力,20260113,4.95,5.13,4.92,4.97,4.95,0.404,744418.14,373704.884,10.517,70782.4632,北京,专用机械,创业板,374707.0404,N
300157.SZ,新锦动力,20260112,4.82,4.95,4.78,4.95,4.84,2.2727,531343.29,259813.108,7.5067,70782.4632,北京,专用机械,创业板,373199.165,N
300157.SZ,新锦动力,20260109,4.81,4.93,4.78,4.84,4.73,2.3256,476967.67,230440.69,6.7385,70782.4632,北京,专用机械,创业板,364905.8502,N
300157.SZ,新锦动力,20260108,4.65,4.75,4.63,4.73,4.67,1.2848,313661.03,147613.056,4.4313,70782.4632,北京,专用机械,创业板,356612.5354,N
300157.SZ,新锦动力,20260107,4.69,4.69,4.59,4.67,4.7,-0.6383,347845.93,161574.324,4.9143,70782.4632,北京,专用机械,创业板,352088.9092,N
300157.SZ,新锦动力,20260106,4.62,4.72,4.6,4.7,4.64,1.2931,338010.93,158227.147,4.7753,70782.4632,北京,专用机械,创业板,354350.7223,N
300157.SZ,新锦动力,20260105,4.72,4.77,4.6,4.64,4.54,2.2026,314104.48,146340.913,4.4376,70782.4632,北京,专用机械,创业板,349827.096,N
300157.SZ,新锦动力,20251231,4.59,4.6,4.48,4.54,4.6,-1.3043,205516.21,93180.264,2.9035,70782.4632,北京,专用机械,创业板,342287.719,N
300157.SZ,新锦动力,20251230,4.54,4.68,4.47,4.6,4.55,1.0989,321545.31,147650.384,4.5427,70782.4632,北京,专用机械,创业板,346811.3452,N
300157.SZ,新锦动力,20251229,4.57,4.6,4.53,4.55,4.57,-0.4376,128696.49,58739.836,1.8182,70782.4632,北京,专用机械,创业板,343041.6567,N
300157.SZ,新锦动力,20251226,4.6,4.62,4.54,4.57,4.62,-1.0823,195516.0,89511.99,2.7622,70782.4632,北京,专用机械,创业板,344549.5321,N
300157.SZ,新锦动力,20251225,4.61,4.63,4.55,4.62,4.58,0.8734,192668.0,88472.215,2.722,70782.4632,北京,专用机械,创业板,348319.2206,N
300157.SZ,新锦动力,20251224,4.55,4.6,4.51,4.58,4.57,0.2188,186699.29,85471.71,2.6376,70782.4632,北京,专用机械,创业板,345303.4698,N
300157.SZ,新锦动力,20251223,4.63,4.7,4.54,4.57,4.65,-1.7204,300297.37,138227.038,4.2425,70782.4632,北京,专用机械,创业板,344549.5321,N
