ts_code,name,trade_date,open,high,low,close,pre_close,change,vol,amount,turnover_rate,float_share,area,industry,market,total_mv,limit
300692.SZ,中环环保,20260205,8.82,8.85,8.7,8.72,8.86,-1.5801,64085.62,56191.546,1.5586,41118.6234,安徽,环境保护,创业板,401434.1894,N
300692.SZ,中环环保,20260204,8.84,9.03,8.78,8.86,8.85,0.113,89148.45,79282.496,2.1681,41118.6234,安徽,环境保护,创业板,407879.2338,N
300692.SZ,中环环保,20260203,8.93,8.95,8.75,8.85,8.84,0.1131,74644.45,65932.339,1.8153,41118.6234,安徽,环境保护,创业板,407418.8735,N
300692.SZ,中环环保,20260202,8.92,9.04,8.83,8.84,9.01,-1.8868,76515.1,68398.185,1.8608,41118.6234,安徽,环境保护,创业板,406958.5132,N
300692.SZ,中环环保,20260130,8.95,9.04,8.76,9.01,8.98,0.3341,94634.75,84339.652,2.3015,41118.6234,安徽,环境保护,创业板,414784.6384,N
300692.SZ,中环环保,20260129,9.12,9.3,8.93,8.98,9.16,-1.9651,121311.67,110820.007,2.9503,41118.6234,安徽,环境保护,创业板,413403.5575,N
300692.SZ,中环环保,20260128,9.15,9.3,9.13,9.16,9.17,-0.1091,89072.25,81900.954,2.1662,41118.6234,安徽,环境保护,创业板,421690.043,N
300692.SZ,中环环保,20260127,9.33,9.36,8.97,9.17,9.34,-1.8201,123401.25,112560.674,3.0011,41118.6234,安徽,环境保护,创业板,422150.4034,N
300692.SZ,中环环保,20260126,9.36,9.44,9.19,9.34,9.37,-0.3202,139425.75,129562.429,3.3908,41118.6234,安徽,环境保护,创业板,429976.5286,N
300692.SZ,中环环保,20260123,9.4,9.65,9.36,9.37,9.42,-0.5308,129799.91,122687.395,3.1567,41118.6234,安徽,环境保护,创业板,431357.6095,N
300692.SZ,中环环保,20260122,9.38,9.47,9.27,9.42,9.4,0.2128,91286.59,85578.664,2.2201,41118.6234,安徽,环境保护,创业板,433659.4111,N
300692.SZ,中环环保,20260121,9.23,9.61,9.18,9.4,9.27,1.4024,141406.6,133456.669,3.439,41118.6234,安徽,环境保护,创业板,432738.6905,N
300692.SZ,中环环保,20260120,9.18,9.3,9.11,9.27,9.18,0.9804,113604.26,104563.147,2.7628,41118.6234,安徽,环境保护,创业板,426754.0064,N
300692.SZ,中环环保,20260119,9.37,9.37,9.12,9.18,9.32,-1.5021,93510.5,85929.015,2.2742,41118.6234,安徽,环境保护,创业板,422610.7637,N
300692.SZ,中环环保,20260116,9.22,9.42,9.2,9.32,9.19,1.4146,140853.49,130875.172,3.4255,41118.6234,安徽,环境保护,创业板,429055.808,N
300692.SZ,中环环保,20260115,9.08,9.2,9.02,9.19,9.14,0.547,106991.7,97445.533,2.602,41118.6234,安徽,环境保护,创业板,423071.124,N
300692.SZ,中环环保,20260114,9.06,9.41,9.01,9.14,9.09,0.5501,195926.35,180113.084,4.7649,41118.6234,安徽,环境保护,创业板,420769.3224,N
300692.SZ,中环环保,20260113,9.44,9.59,9.04,9.09,9.42,-3.5032,215373.32,198796.909,5.2379,41118.6234,安徽,环境保护,创业板,418467.5209,N
300692.SZ,中环环保,20260112,8.76,9.55,8.56,9.42,8.61,9.4077,344445.53,314230.519,8.3769,41118.6234,安徽,环境保护,创业板,433659.4111,N
300692.SZ,中环环保,20260109,8.54,8.64,8.44,8.61,8.53,0.9379,113907.45,97267.718,2.7702,41118.6234,安徽,环境保护,创业板,396370.226,N
300692.SZ,中环环保,20260108,8.57,8.64,8.52,8.53,8.6,-0.814,74784.21,64033.177,1.8187,41118.6234,安徽,环境保护,创业板,392687.3436,N
300692.SZ,中环环保,20260107,8.53,8.74,8.52,8.6,8.55,0.5848,108068.88,93246.873,2.6282,41118.6234,安徽,环境保护,创业板,395909.8657,N
300692.SZ,中环环保,20260106,8.56,8.61,8.5,8.55,8.56,-0.1168,72486.84,61942.647,1.7629,41118.6234,安徽,环境保护,创业板,393608.0642,N
300692.SZ,中环环保,20260105,8.46,8.57,8.44,8.56,8.4,1.9048,90350.32,77063.272,2.1973,41118.6234,安徽,环境保护,创业板,394068.4245,N
300692.SZ,中环环保,20251231,8.6,8.63,8.36,8.4,8.58,-2.0979,75006.43,63349.566,1.8241,41118.6234,安徽,环境保护,创业板,386702.6596,N
300692.SZ,中环环保,20251230,8.71,8.74,8.42,8.58,8.71,-1.4925,112594.81,96491.04,2.7383,41118.6234,安徽,环境保护,创业板,394989.1451,N
300692.SZ,中环环保,20251229,8.23,8.77,8.22,8.71,8.27,5.3204,170078.49,144992.982,4.1363,41118.6234,安徽,环境保护,创业板,400973.8291,N
300692.SZ,中环环保,20251226,8.34,8.38,8.23,8.27,8.33,-0.7203,62332.09,51656.798,1.5159,41118.6234,安徽,环境保护,创业板,380717.9755,N
300692.SZ,中环环保,20251225,8.37,8.39,8.25,8.33,8.31,0.2407,58866.35,48989.903,1.4316,41118.6234,安徽,环境保护,创业板,383480.1374,N
300692.SZ,中环环保,20251224,8.28,8.42,8.21,8.31,8.28,0.3623,51084.31,42625.102,1.2424,41118.6234,安徽,环境保护,创业板,382559.4168,N
300692.SZ,中环环保,20251223,8.3,8.35,8.2,8.28,8.34,-0.7194,65149.6,53787.95,1.5844,41118.6234,安徽,环境保护,创业板,381178.3359,N
300692.SZ,中环环保,20251222,8.55,8.55,8.29,8.34,8.5,-1.8824,97331.16,81345.669,2.3671,41118.6234,安徽,环境保护,创业板,383940.4977,N
300692.SZ,中环环保,20251219,8.38,8.52,8.36,8.5,8.37,1.5532,60880.53,51497.183,1.4806,41118.6234,安徽,环境保护,创业板,391306.2627,N
300692.SZ,中环环保,20251218,8.5,8.53,8.36,8.37,8.5,-1.5294,71549.89,60338.018,1.7401,41118.6234,安徽,环境保护,创业板,385321.5786,N
300692.SZ,中环环保,20251217,8.38,8.6,8.32,8.5,8.41,1.0702,88252.21,74492.807,2.1463,41118.6234,安徽,环境保护,创业板,391306.2627,N
300692.SZ,中环环保,20251216,8.83,8.88,8.4,8.41,8.81,-4.5403,123681.46,105844.796,3.0079,41118.6234,安徽,环境保护,创业板,387163.0199,N
300692.SZ,中环环保,20251215,9.2,9.33,8.78,8.81,9.01,-2.2198,152937.65,136797.003,3.7194,41118.6234,安徽,环境保护,创业板,405577.4322,N
300692.SZ,中环环保,20251212,9.09,9.38,8.98,9.01,8.89,1.3498,224455.55,205603.411,5.4592,41115.3651,安徽,环境保护,创业板,414755.2811,N
300692.SZ,中环环保,20251211,8.85,9.22,8.85,8.89,8.86,0.3386,217519.63,196379.286,5.2905,41115.3651,安徽,环境保护,创业板,409231.3484,N
300692.SZ,中环环保,20251210,8.7,9.1,8.66,8.86,8.86,0.0,212383.6,188360.101,5.1656,41115.3651,安徽,环境保护,创业板,407850.3652,N
300692.SZ,中环环保,20251209,8.28,8.87,8.23,8.86,8.27,7.1342,239402.41,206980.682,5.8227,41115.3651,安徽,环境保护,创业板,407850.3652,N
300692.SZ,中环环保,20251208,8.35,8.41,8.24,8.27,8.31,-0.4813,63093.51,52460.835,1.5345,41115.3651,安徽,环境保护,创业板,380691.0294,N
300692.SZ,中环环保,20251205,8.26,8.4,8.16,8.31,8.26,0.6053,74370.99,61803.667,1.8088,41115.3651,安徽,环境保护,创业板,382532.3403,N
300692.SZ,中环环保,20251204,8.14,8.32,8.07,8.26,8.19,0.8547,75055.48,61626.836,1.8255,41115.3651,安徽,环境保护,创业板,380230.7017,N
300692.SZ,中环环保,20251203,8.25,8.31,8.14,8.19,8.28,-1.087,69689.46,57121.566,1.695,41115.3651,安徽,环境保护,创业板,377008.4076,N
300692.SZ,中环环保,20251202,8.25,8.36,8.16,8.28,8.3,-0.241,57342.09,47277.598,1.3947,41115.3651,安徽,环境保护,创业板,381151.3571,N
300692.SZ,中环环保,20251201,8.27,8.36,8.21,8.3,8.27,0.3628,63701.25,52846.062,1.5493,41115.3651,安徽,环境保护,创业板,382072.0126,N
